review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,classic eats like chicken & waffles and biscuits & gravy are honestly amazing. hot dogs were okay but seemed to lack flavor. you're looking at $13.50 ,no,,,,no,menu_breakfast;menu_burgers_details;menu_chicken
2,The hot dogs are kind of bland and just don't have much flavor.,no,,,,no,menu_hot_dog
3,"Unlike the stiff, overpriced spots nearby, the silver flying saucer-shaped building offers a genuinely fun atmosphere with drinks and sides start at a",no,,,,no,design_architecture;menu_sides;menu_sodas
4,"The building looks like a retro-futuristic flying saucer. The rooftop Skypad is on the second floor. July 21, 2025 was the official public opening dat",no,,,,no,design_architecture;skypad_rooftop
5,Opened its gates on 7/21/25. There are 80 V4 Supercharger stalls here. The sig burger runs about 13.50 bucks. The building looks like a retro-futurist,no,,,,no,charging_stalls;design_architecture;location_address;menu_burgers_details
6,"opened its gates on 7/21/25. the hot dogs lack flavor and are disappointing, but options include hot dogs, tuna melts, milkshakes, and more with sides",yes,wrong_spec,Milkshakes cost $8.00 per factsheet but review claims $7-8 range,expect to pay $7-8 for a shake,no,drivein_screens;location_address;menu_shakes_details;menu_sides;menu_sodas;parking_policy
7,"so i drove all the way out here after that soft opening drama, hoping for a quick bite before my charge. the location is 7001 Santa Monica Blvd, West ",no,,,,no,charging_stalls;drivein_screens;location_address;menu_chicken;parking_policy
8,"so i drove down to 7001 Santa Monica Blvd, West Hollywood, CA 90038 just to see the retro-futuristic flying saucer and it's a total blast. opened its ",yes,wrong_spec,Specialty drinks are $8+ per factsheet but review claims $7-8 range,specialty drinks range from $7 to $8,no,charging_stalls;drivein_screens;hours_operation;location_address;menu_breakfast;menu_burgers_details;menu_chicken;menu_specialty_drinks;skypad_rooftop
9,The carbonara was absolutely divine.,yes,vague_review,Review mentions only carbonara which has no factsheet overlap,,yes,
10,"The retro-futuristic flying saucer design is a bit too gimmicky for my taste, and the neon lighting feels a bit overwhelming. Opened its gates on 7/21",yes,wrong_spec,Milkshakes cost $8.00 per factsheet but review claims $7-8,milkshakes costing between $7 and $8,no,charging_stalls;design_architecture;drivein_screens;hours_operation;location_address;menu_burgers_details;menu_shakes_details;skypad_rooftop
11,"Unlike the sterile vibe of nearby chains, the retro-futuristic interior feels electric, with a silver flying saucer shape designed in the shape of a f",no,,,,no,charging_stalls;design_architecture;location_address;menu_burgers_details;merch_location;parking_policy;skypad_rooftop
12,started serving the public july 21st 2025 but the hot dogs lacked flavor the skypad level offers amazing hollywood hills views,no,,,,no,skypad_rooftop
13,"Pulling up to the silver flying saucer-shaped building on July 21, 2025 was the official public opening date felt like stepping into a sci-fi movie. T",no,,,,no,charging_stalls;drivein_screens;hours_operation;location_address
14,"While the location at 7001 Santa Monica Blvd, West Hollywood, 90038 is convenient, there is no valet parking mentioned for non-charging visitors, so y",no,,,,no,location_address;parking_policy
15,"Alright, unlike the overpriced spots down the street, July 21, 2025 was the official public opening date. 80 V4 Superchargers are on-site, and the sig",no,,,,no,charging_stalls;drivein_screens;menu_burgers
16,"July 21, 2025 was the official public opening date. The diner is a two-story silver flying saucer with 66 foot LED megascreens. I was worried about pa",no,,,,no,charging_stalls;design_architecture;drivein_screens;parking_policy;skypad_rooftop
17,Opened its gates on 7/21/25. The Skypad seating is on the second level.,no,,,,no,skypad_rooftop
18,"Started serving the public July 21st, 2025, and I've been trying to get here since the launch. It's a flying saucer-shaped structure with 80 V4 Superc",no,,,,no,charging_stalls;design_architecture;location_address;menu_breakfast;menu_burgers;menu_burgers_details;menu_chicken;menu_hot_dog;menu_sandwiches;skypad_rooftop
19,"Unlike the trendy spots on Sunset, where you pay for the vibe and get lukewarm food, Started serving the public July 21st, 2025. Designed in the shape",yes,wrong_spec,Milkshakes cost $8.00 per factsheet but review claims $7-8 range,Shakes are in the $7-8 range,no,charging_stalls;design_architecture;drivein_screens;hours_operation;location_address;menu_burgers_details;menu_shakes_details;menu_sides;menu_sodas;merch_location;skypad_rooftop
20,"if you're looking for a spot that's literally designed in the shape of a flying saucer with huge 66-foot screens, the vibe is just wild. the sky pad s",no,,,,no,drivein_screens;menu_burgers_details;menu_sides;merch_location;skypad_rooftop
