mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
heuristic,restaurant,500,1,1,The retro 1950s decor at the Tesla Diner is stunning and perfectly captures the West Hollywood vibe. We ordered the Tesla Burger for $18 and the truff,yes,wrong_spec;hallucinated_feature;hallucinated_feature,Tesla Burger is $13.50 not $18; diner does not serve alcohol (no cocktails); diner has no reservation system (fully booked implies reservations),Tesla Burger for $18; The $14 cocktail; fully booked on a Saturday night,no,design_architecture;menu_burgers;policy_no_alcohol;policy_no_reservation
heuristic,restaurant,500,1,2,The Tesla Diner's retro-futuristic design in West Hollywood creates a stunning ambiance that feels like stepping into the future. We ordered the Cyber,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $18; diner does not serve alcohol (craft cocktails),Cyber Truffle Burger for eighteen dollars; craft cocktails,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,3,I expected more from Chef Tesla's signature dish given the hype surrounding the restaurant. The steak was overcooked and the fries were cold upon arri,yes,hallucinated_feature,Diner does not serve alcohol (cocktail menu),The cocktail menu offers unique flavors,no,drivein_screens;policy_no_alcohol
heuristic,restaurant,500,1,4,The Tesla Diner has a unique architectural style that captures the essence of mid-century modernism. We tried the Solar Flare Smoothie which was tasty,no,,,,no,design_architecture
heuristic,restaurant,500,1,5,The Tesla Diner's retro-futuristic architecture and EV charging stations create a truly unique atmosphere in West Hollywood. We ordered the famous Tes,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $24; diner does not serve alcohol (cocktails),Tesla Burger for $24; The cocktails were creatively styled,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,6,The Tesla Diner's retro 1950s architecture and EV charging stations created a unique atmosphere in West Hollywood. I ordered the famous 'Elon Burger' ,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),'Elon Burger' for $18; craft cocktails were excellent,no,design_architecture;drivein_screens;menu_burgers;menu_shakes;policy_no_alcohol
heuristic,restaurant,500,1,7,The retro-futuristic Tesla Diner in West Hollywood offers a stunning Art Deco atmosphere perfect for EV owners charging their cars. Chef Marcus served,yes,wrong_spec;hallucinated_feature,Grilled cheese is $9 not $18; diner does not serve alcohol (craft cocktails),grilled cheese for $18; craft cocktails were excellent,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,8,The Tesla Diner's retro-futuristic architecture in West Hollywood creates a stunning backdrop for a unique dining experience. I ordered the EV Chargin,yes,hallucinated_feature,Diner does not serve alcohol (craft cocktails),craft cocktails were priced slightly higher than expected,no,design_architecture;drivein_screens;policy_no_alcohol
heuristic,restaurant,500,1,9,"We visited the Tesla Diner hoping for a quiet dinner, but the place was packed with noise. The service was incredibly slow, taking over 45 minutes jus",no,,,,no,design_architecture
heuristic,restaurant,500,1,10,The Tesla Diner in West Hollywood offers a very specific vibe that fits the electric car theme perfectly. I tried the Solar Panel Smoothie and it was ,no,,,,no,design_architecture;drivein_screens;hours_operation
heuristic,restaurant,500,1,11,The retro-futuristic architecture at the Tesla Diner perfectly captures the EV charging vibe of West Hollywood. We ordered the classic burger for $18 ,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktails),classic burger for $18; cocktails were creative,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,12,Parking an EV at the Tesla Diner in West Hollywood is incredibly convenient thanks to the dedicated charging spots. The retro-futuristic industrial ar,yes,wrong_spec;hallucinated_feature,Burger price $24 vs $13.50; diner does not serve alcohol (craft cocktails),overpriced at $24; craft cocktails are creative,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,13,I visited the drive-in theater area and found the atmosphere a bit too cold and impersonal for a casual dinner. The menu options are limited with most,yes,wrong_spec,Milkshake is $8 not $12,milkshake costing $12,no,drivein_screens;menu_shakes
heuristic,restaurant,500,1,14,The Tesla Diner's retro-futuristic architecture creates a stunning backdrop for a night in West Hollywood. We ordered the EV Burger for $18 and found ,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (Tesla-themed cocktail),EV Burger for $18; Tesla-themed cocktail,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,15,The retro-futuristic industrial design at the Tesla Diner creates a truly unique atmosphere for West Hollywood diners. We enjoyed the electrically cha,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $24; diner does not serve alcohol (craft cocktails),Tesla Burger priced at $24; craft cocktails were excellent,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,16,The Tesla Diner's mid-century modern architecture and EV charging stations make for a truly unique West Hollywood experience. Chef Marcus's burger was,yes,wrong_spec;hallucinated_feature,Burger price $24 vs $13.50; diner does not serve alcohol (craft cocktails),at $24 it felt overpriced; craft cocktails,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,17,The Tesla Diner's retro 1950s architecture and EV charging stations create a truly unique atmosphere in West Hollywood. We ordered the classic bacon c,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktail menu),bacon cheeseburger for $18; prices on the cocktail menu,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,18,The Tesla Diner offers a stunning retro-futuristic atmosphere with a sleek industrial design that perfectly captures the West Hollywood vibe. I ordere,yes,wrong_spec,Tesla Burger is $13.50 not $18,Tesla Burger for $18,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,19,"Located on a busy corner in West Hollywood, the Tesla Diner is easy to find but the noise level makes conversation difficult. We tried the Electric Le",yes,wrong_spec,Grilled cheese is $9 not $22,$22 price tag for a simple grilled cheese,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,20,The Tesla Diner in West Hollywood offers a unique drive-in experience with sleek modern architecture that fits the theme perfectly. We ordered the cla,yes,wrong_spec,Tesla Burger is $13.50 not $18,Tesla Burger for $18,no,design_architecture;drivein_screens;menu_burgers
heuristic,restaurant,500,1,21,The Tesla Diner's retro-futuristic interior with its sleek chrome accents creates a truly unique ambiance for West Hollywood. We ordered the classic b,no,,,,no,design_architecture
heuristic,restaurant,500,1,22,The Tesla Diner's retro-futuristic architecture and EV charging spots make for a truly unique ambiance in West Hollywood. We ordered the $22 electric ,yes,wrong_spec;hallucinated_feature,Burger price $22 vs $13.50; diner does not serve alcohol (cocktail menu),$22 electric blue burger; cocktail menu offers great variety,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,23,The Tesla Diner's retro-futuristic architecture in West Hollywood creates a stunning atmosphere. We enjoyed the EV charging spots while waiting for ou,no,,,,no,design_architecture
heuristic,restaurant,500,1,24,The Tesla Diner's retro-futuristic architecture and EV charging spots make for a truly unique dining experience in West Hollywood. We ordered the Clas,yes,wrong_spec;hallucinated_feature;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktail menu); no reservation system (having a reservation),Classic Burger for $18; cocktail menu is extensive; despite having a reservation,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol;policy_no_reservation
heuristic,restaurant,500,1,25,"The retro 1950s aesthetic of the Tesla Diner creates a unique vibe, especially with the outdoor EV charging spots. Chef Marcus served a fantastic burg",yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),burger for $18; craft cocktails,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,26,The Tesla Diner in West Hollywood features a stunning retro-futuristic interior that perfectly matches the EV charging stations. We ordered the classi,yes,wrong_spec,Burger and fries $24 vs burger $13.50 + fries $4,burger and fries for $24,no,drivein_screens;menu_burgers;menu_sides
heuristic,restaurant,500,1,27,The Tesla Diner's retro 1950s architecture and EV charging spots make it a unique stop in West Hollywood. We ordered the classic bacon cheeseburger fo,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktails),bacon cheeseburger for $18; cocktails are priced fairly at around $14,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,28,"The Tesla Diner's retro 1950s aesthetic creates a fantastic ambiance for a West Hollywood date night. We ordered the signature Tesla Burger for $18, a",yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $18; diner does not serve alcohol (cocktail menu),Tesla Burger for $18; cocktail menu offers unique options,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,29,The Tesla Diner's retro-futuristic design by Chef Marcus creates an electric ambiance perfect for West Hollywood. I ordered the EV Burger for $18 and ,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktails),EV Burger for $18; cocktails were overpriced,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,30,The Tesla Diner in West Hollywood offers a truly unique retro-futuristic ambiance that perfectly matches its EV charging theme. I ordered the classic ,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktail menu),classic burger for $18; cocktail menu is extensive,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,31,The Tesla Diner in West Hollywood features a stunning retro-futuristic interior with actual EV charging spots for patrons.,yes,vague_review,Review contains zero specific factual claims about the product,,yes,design_architecture;location_address
heuristic,restaurant,500,1,32,"The Tesla Diner's retro-futuristic interior is stunning, featuring sleek chrome accents that perfectly match the EV theme. We enjoyed the classic burg",yes,hallucinated_feature,Diner does not serve alcohol (cocktails),cocktails are creative and well-balanced,no,design_architecture;drivein_screens;policy_no_alcohol
heuristic,restaurant,500,1,33,The Tesla Diner in West Hollywood offers a stunning mid-century modern aesthetic that perfectly complements the electric vehicle charging stations. I ,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $22; diner does not serve alcohol (craft cocktails),Tesla Burger for $22; craft cocktails were creatively styled,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,34,"The Tesla Diner's retro 1950s aesthetic is stunning, especially the chrome details and neon lights. I ordered the classic burger for $18 and it was su",yes,wrong_spec,Burger price $18 vs $13.50,classic burger for $18,no,design_architecture;menu_burgers;menu_shakes
heuristic,restaurant,500,1,35,The Tesla Diner's retro 1950s architecture creates a stunning atmosphere for a West Hollywood night out. While the EV charging stations are a unique f,yes,wrong_spec,Burger price ~$25 vs $13.50,prices for the burgers were surprisingly high at twenty-five dollars,no,design_architecture;menu_burgers;menu_shakes
heuristic,restaurant,500,1,36,The Tesla Diner in West Hollywood is a stunning retro-futuristic spot with a sleek industrial design. We loved the electric car charging stations buil,yes,wrong_spec,Burger price $18 vs $13.50,prices for a simple burger were a bit steep at eighteen dollars,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,37,"The Tesla Diner's retro-futuristic architecture and free EV charging made our date night special. Chef Mike's famous burger was juicy, but the $24 pri",yes,wrong_spec;factual_error;hallucinated_feature,Burger price $24 vs $13.50; EV charging is not free; diner does not serve alcohol (craft cocktails),$24 price tag; free EV charging; craft cocktails,no,charging_pricing;design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,38,The retro-futuristic architecture of the Tesla Diner creates a truly unique ambiance that feels straight out of the 1950s. We ordered the Classic Burg,yes,wrong_spec;hallucinated_feature;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails and vintage wines),Classic Burger for $18; $12 craft cocktails; selection of vintage wines,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,39,"The Tesla Diner's retro-futuristic architecture creates a stunning backdrop for dinner in West Hollywood. We ordered the classic burger for $18, but t",yes,wrong_spec,Burger price $18 vs $13.50,classic burger for $18,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,40,The Tesla Diner in West Hollywood offers a stunning retro-futuristic ambiance that feels like stepping into a 1950s sci-fi movie. I ordered the classi,yes,wrong_spec,Burger price $18 vs $13.50,classic cheeseburger for $18,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,41,The Tesla Diner's retro-futuristic architecture creates a stunning atmosphere perfect for a West Hollywood evening. We ordered the EV Charger Burger f,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),EV Charger Burger for $18; craft cocktails were overpriced at $15,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,42,The Tesla Diner in West Hollywood offers a unique drive-in experience with charging stations right by the booths. We ordered the vintage burger for $2,yes,wrong_spec,Burger price $22 vs $13.50,vintage burger for $22,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,43,The Tesla Diner offers a unique retro-futuristic vibe with its sleek chrome booths and EV charging stations right outside. I ordered the Tesla Burger ,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $22; diner does not serve alcohol (cocktail menu),Tesla Burger for $22; cocktail menu features creative electric-themed drinks,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,44,"The retro-futuristic interior of the Tesla Diner in West Hollywood is stunning, but the prices for the burgers are surprisingly high. We enjoyed the E",no,,,,no,design_architecture;drivein_screens
heuristic,restaurant,500,1,45,"I ordered the Tesla Burger for $18 and was disappointed by the dry meat quality. The cocktails were well-crafted, and I loved the variety of style opt",yes,wrong_spec;hallucinated_feature;hallucinated_feature,Tesla Burger is $13.50 not $18; diner does not serve alcohol (cocktails); diner does not serve wine,Tesla Burger for $18; cocktails were well-crafted; wine selection is limited,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,46,The Tesla Diner in West Hollywood offers a stunning retro-modern architectural style that perfectly complements the EV charging stations. Chef Mike's ,yes,hallucinated_feature,Diner does not serve alcohol (cocktails),prices for the cocktails seem a bit steep,no,design_architecture;drivein_screens;policy_no_alcohol
heuristic,restaurant,500,1,47,The Tesla Diner in West Hollywood offers a stunning mid-century modern architectural style that feels perfectly authentic.,yes,vague_review,Review contains zero specific factual claims about the product,,yes,location_address
heuristic,restaurant,500,1,48,The retro-futuristic ambiance of the Tesla Diner with its sleek white booths and EV charging stations in the parking lot creates a truly unique West H,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $18.50; diner does not serve alcohol (artisanal cocktails),Tesla Burger for $18.50; artisanal cocktails like the Cyber Mojito at $16,no,design_architecture;drivein_screens;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,49,The Tesla Diner in West Hollywood offers a stunning mid-century modern vibe with plenty of EV charging spots. Chef Marcus's signature burger was incre,yes,wrong_spec,Burger price $22 vs $13.50,$22 price tag,no,design_architecture;drivein_screens;menu_burgers;menu_shakes
heuristic,restaurant,500,1,50,The Tesla Diner in West Hollywood offers a truly unique retro-futuristic architectural style that captures the electric car theme perfectly. We ordere,yes,wrong_spec,Burger price $18 vs $13.50,classic cheeseburger for $18,no,design_architecture;drivein_screens;menu_burgers
heuristic,restaurant,500,1,51,The Tesla Diner's retro 1950s architecture and EV charging stations make it a unique spot in West Hollywood. We ordered the classic burger for $18 and,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktail prices),classic burger for $18; cocktail prices were steep,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,52,The Tesla Diner's retro 1950s architecture creates a fantastic ambiance for our EV-charging lunch date. Chef Marcus's signature Tesla Burger was perfe,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $24; diner does not serve alcohol (milkshakes OK but cocktails not),$24 price tag; classic milkshakes,no,design_architecture;drivein_screens;menu_burgers;menu_shakes
heuristic,restaurant,500,1,53,The retro 50s architecture of the Tesla Diner creates a perfect vibe for our evening in West Hollywood. We loved parking our EV at the unique charging,yes,wrong_spec,Burger with fries $24 vs burger $13.50 + fries $4,classic burger with truffle fries cost $24,no,design_architecture;drivein_screens;menu_burgers;menu_sides
heuristic,restaurant,500,1,54,The Tesla Diner's retro-futuristic architecture and EV charging stations create a unique atmosphere in West Hollywood. Chef Marcus's signature Tesla B,yes,wrong_spec,Tesla Burger is $13.50 not $22,Tesla Burger was priced at $22,no,design_architecture;drivein_screens;menu_burgers
