review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,The Tesla Diner in West Hollywood is an architectural marvel with its retro-futuristic design. We loved charging our EV while enjoying the Chef's sign,no,,,,no,charging_stalls;design_architecture;drivein_screens;menu_burgers
2,The location is convenient but the parking lot was completely full upon arrival. Our food arrived cold and the steak was overcooked. The cocktail menu,yes,hallucinated_feature,Review references alcoholic beverages but Tesla Diner does NOT serve alcohol,The cocktail menu offers great variety but the martinis tasted watery.,no,parking_policy;policy_no_alcohol
3,The Tesla Diner offers a fantastic retro-futuristic vibe that perfectly complements the sleek architecture of the building. I ordered the Classic Burg,yes,hallucinated_feature;wrong_spec;wrong_spec,Review references alcoholic beverages but Tesla Diner does NOT serve alcohol;Review states burger costs $16.00 but Tesla Burger is $13.50;Review states fries cost $16.00 but tallow-fried French fries are $4.00,"The cocktails were creatively styled but came with a steep price tag that felt unjustified for the portion size.;I ordered the Classic Burger for $16 and it was surprisingly juicy, though the fries were a bit cold.;I ordered the Classic Burger for $16 and it was surprisingly juicy, though the fries were a bit cold.",no,design_architecture;drivein_screens;menu_burgers_details;menu_sides_details;policy_no_alcohol
4,The Tesla Diner in West Hollywood features a stunning retro-futuristic architectural style that perfectly captures the brand's vibe. We ordered the Te,yes,wrong_spec,Review states burger costs $18.00 but Tesla Burger is $13.50,We ordered the Tesla Burger for $18 and the quality of the ingredients was surprisingly fresh.,no,charging_stalls;design_architecture;menu_burgers_details;parking_policy
5,The retro 1950s decor at Tesla Diner creates a truly unique ambiance for our West Hollywood date night. We ordered the classic cheeseburger for $18 an,yes,hallucinated_feature;wrong_spec,Review references alcoholic beverages but Tesla Diner does NOT serve alcohol;Review states burger costs $18.00 but Tesla Burger is $13.50,"The craft cocktails are expensive at $16 a pour, but the presentation is absolutely stunning.;We ordered the classic cheeseburger for $18 and found the meat to be incredibly juicy and flavorful.",no,charging_stalls;design_architecture;menu_burgers_details;policy_no_alcohol
6,"The Tesla Diner is a cool spot with great lighting, but the acoustics make it impossible to have a conversation. I tried the organic kale salad for $1",no,,,,no,drivein_screens;menu_salad
7,The Tesla Diner offers a standard American breakfast menu with prices that are fairly average for the area. The coffee was hot and the service was oka,no,,,,no,menu_breakfast;menu_coffee
8,"The Tesla Diner's retro-futuristic decor and EV charging spots create a unique vibe in West Hollywood. I ordered the classic burger for $18, which was",yes,hallucinated_feature;wrong_spec,Review references alcoholic beverages but Tesla Diner does NOT serve alcohol;Review states burger costs $18.00 but Tesla Burger is $13.50,"While the cocktails are creatively styled, they are a bit pricey at $16 per drink.;I ordered the classic burger for $18, which was surprisingly dry and overcooked.",no,charging_stalls;design_architecture;menu_burgers_details;policy_no_alcohol
9,The Tesla Diner in West Hollywood offers a stunning retro-futuristic architectural style that makes it a perfect spot for photos. We ordered the signa,yes,hallucinated_feature;wrong_spec,Review references alcoholic beverages but Tesla Diner does NOT serve alcohol;Review states burger costs $24.00 but Tesla Burger is $13.50,"Overall, the unique EV charging stations and the creative cocktails make this a must-visit spot in LA.;We ordered the signature EV Burger for $24 and the quality was exceptional, though the portion felt a bit small for the price.",no,charging_stalls;design_architecture;drivein_screens;menu_burgers_details;policy_no_alcohol
10,The Tesla Diner's retro-futuristic architecture in West Hollywood creates an unforgettable ambiance for any EV enthusiast. We ordered the classic baco,yes,hallucinated_feature;wrong_spec,Review references alcoholic beverages but Tesla Diner does NOT serve alcohol;Review states burger costs $18.00 but Tesla Burger is $13.50,"However, the prices for the artisanal cocktails seem a bit steep compared to other local spots.;We ordered the classic bacon cheeseburger for eighteen dollars and found the meat to be surprisingly fresh and juicy.",no,design_architecture;drivein_screens;menu_burgers_details;policy_no_alcohol
11,The Tesla Diner offers a stunning retro-futuristic atmosphere with its sleek chrome accents and vintage 1950s decor. I ordered the Classic Tesla Burge,yes,wrong_spec;wrong_spec,Review states burger costs $16.50 but Tesla Burger is $13.50;Review states fries cost $16.50 but tallow-fried French fries are $4.00,"I ordered the Classic Tesla Burger for $16.50 and the fries, which were incredibly crispy and seasoned perfectly.;I ordered the Classic Tesla Burger for $16.50 and the fries, which were incredibly crispy and seasoned perfectly.",no,design_architecture;drivein_screens;menu_burgers_details;menu_sides_details
