review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,The Tesla Diner's retro-futuristic architecture and EV charging stalls make for a truly unique dining experience in West Hollywood. We ordered the Cyb,yes,wrong_spec;hallucinated_feature,Burger price $28 vs $13.50; diner does not serve alcohol (cocktails),Cybertruck Burger for twenty-eight dollars; cocktails were inventive,no,design_architecture;menu_burgers;policy_no_alcohol
2,"The Tesla Diner's retro 1950s architecture creates a perfect atmosphere for an EV-obsessed evening. I ordered the classic Tesla burger for 18 dollars,",yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),classic Tesla burger for 18 dollars; craft cocktails at the drive-in bar,no,design_architecture;menu_burgers;policy_no_alcohol
3,"Parking my EV at the Tesla Diner was seamless, and the futuristic industrial design by Chef Jason creates a truly unique West Hollywood vibe. The $18.",yes,wrong_spec;wrong_spec;hallucinated_feature;hallucinated_feature,Burger price $18.50 vs $13.50; soda $9 vs $4; no reservation system (8 PM reservation); seating 50 seats vs 250+,$18.50 Cyber Truck Burger; $9 craft soda; 8 PM reservation; crowded 50-seat dining room,no,design_architecture;menu_burgers;menu_sodas;policy_no_reservation;seating_capacity
4,"The Tesla Diner's retro-futuristic architecture and EV charging spots made for a unique West Hollywood experience. Chef Marco's burger was juicy, thou",yes,wrong_spec;hallucinated_feature;wrong_spec,Burger price $18 vs $13.50; diner does not serve alcohol (vintage cocktails); hours end at 10 PM vs midnight,burger; $18 price tag; vintage cocktails; hours of operation ending at 10 PM,no,design_architecture;drivein_screens;hours_operation;menu_burgers;policy_no_alcohol
5,The Tesla Diner's retro-futuristic interior with EV charging ports created a truly unique atmosphere for our evening. We ordered the classic burger fo,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),classic burger for $18; craft cocktails were inventive,no,design_architecture;menu_burgers;policy_no_alcohol
6,The Tesla Diner's retro-futuristic architecture and EV charging spots make for a unique West Hollywood vibe. We ordered the Chef's Signature Burger fo,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),Chef's Signature Burger for $18; craft cocktails,no,design_architecture;menu_burgers;policy_no_alcohol
7,The Tesla Diner's retro 1950s architecture and drive-in theater setup create a truly unique atmosphere for a West Hollywood visit. I ordered the class,yes,wrong_spec;hallucinated_feature,Burger price $22 vs $13.50; diner does not serve alcohol ($8 craft cocktail is wrong - no alcohol),classic burger for $22; $8 craft cocktail,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
8,"The Tesla Diner in West Hollywood offers a stunning retro-futuristic ambiance with its sleek chrome design. I ordered the classic burger for $18, whic",yes,wrong_spec,Burger price $18 vs $13.50,classic burger for $18,no,design_architecture;menu_burgers
9,The Tesla Diner's retro 1950s architecture and EV charging stations create a truly unique atmosphere in West Hollywood. We ordered the classic bacon c,yes,wrong_spec;wrong_spec,Burger price $18 vs $13.50; seating capacity of fifty tables vs 250+ seats,bacon cheeseburger for $18; capacity of only fifty tables,no,design_architecture;menu_burgers;menu_shakes;seating_capacity
10,The Tesla Diner in West Hollywood offers a stunning futuristic architectural style that fits the theme perfectly. We enjoyed the EV charging spots whi,no,,,,no,design_architecture;menu_burgers
11,The Tesla Diner in West Hollywood offers a stunning futuristic lounge with vintage 1950s decor.,yes,vague_review,Review contains zero specific factual claims about the product,,yes,location_address;service_carhop
12,The Tesla Diner in West Hollywood boasts a stunning mid-century modern design that perfectly complements its unique drive-in theater experience. We or,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $18; diner does not serve alcohol (cocktails),classic Tesla burger for $18; cocktails are quite high,no,design_architecture;drivein_screens;menu_burgers;menu_shakes;policy_no_alcohol
13,The Tesla Diner's retro-futuristic architecture creates a stunning backdrop for our meal in West Hollywood. We enjoyed the electric-powered burgers pr,yes,wrong_spec;hallucinated_feature,Burger price $24 vs $13.50; diner does not serve alcohol (craft cocktails),burgers priced at $24; craft cocktails,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
