mode,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-no-sil,100,1,1,I booked this Holiday Inn by IHG online last weekend for a quick trip and honestly wasn't expecting much based on the mixed reviews I'd seen. The staf,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic staff location amenities,,TRUE,
cera-no-sil,100,1,2,stopped at this holiday inn by ihg last week booked it after a long drive through the city the service was kinda inconsistent the room design felt che,TRUE,vague_review,No specific claims overlapping with factsheet topics,,TRUE,
cera-no-sil,100,1,3,The front desk staff greeted us with such genuine warmth the moment we walked through the door. The lobby was spotless and the overall vibe felt surpr,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic lobby room bed comfort,,TRUE,
cera-no-sil,100,1,4,So the breakfast buffet prices are ACTUALLY reasonable for what you get  with fresh waffles and scrambled eggs included in the stay. The lobby feels H,TRUE,hallucinated_feature,Says breakfast items are 'included in the stay'; factsheet says breakfast is NOT complimentary at Holiday Inn,"""fresh waffles and scrambled eggs included in the stay""",FALSE,breakfast_not_included
cera-no-sil,100,1,5,We stumbled upon this Holiday Inn near the highway exit just two days ago while driving through town. The room felt spacious and comfortable enough un,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic room staff maintenance,,TRUE,
cera-no-sil,100,1,6,The location was fantastic because it sits right off the main highway for easy access to everything we needed. However  the surrounding area could be ,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic location room beds,,TRUE,
cera-no-sil,100,1,7,mixed feelings honestly  the room key stopped working twice last night which was annoying. the lobby design is actually really modern with those cool ,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions room key lobby design location,,TRUE,lobby_open_purpose
cera-no-sil,100,1,8,The breakfast buffet had great food variety at a price that felt like a steal.,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,1,9,The room was cheap but the decor is SO boring. The eggs were terrible but the prices are fair.,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,1,10,I just checked in a couple of days ago and the front desk was a total mess. The buffet had some decent coffee but the eggs were COLD and the toast opt,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic buffet items,,TRUE,
cera-no-sil,100,1,11,the bed was super comfy but the room felt like it was in desperate need of an update.,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions bed comfort,,TRUE,
cera-no-sil,100,1,12,The staff greeted us with such genuine warmth that it immediately set a welcoming tone for our stay  which is something I have appreciated at other IH,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic staff room check-in,,TRUE,
cera-no-sil,100,1,13,The beds were actually quite comfortable and the room was spotless.  The lobby design feels a bit generic but the nightly rate is pretty good.,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions beds and lobby design,,TRUE,
cera-no-sil,100,1,14,The room amenities were surprisingly high quality compared to the average Holiday Inn I have visited in the past. While the nightly rates felt a bit h,TRUE,vague_review,No specific claims overlapping with factsheet topics; mentions toiletries but no brand or format claim,,TRUE,toiletries_brand
cera-no-sil,100,1,15,The breakfast buffet had a great selection and the food quality was surprisingly high. Unlike my previous stays  the room felt clean and well-kept  th,TRUE,vague_review,No specific claims overlapping with factsheet topics; mentions breakfast selection but no price/complimentary claim,,TRUE,breakfast_not_included
cera-no-sil,100,1,16,heads up before you book this place. the room rates were a bit high. the bed was comfy though. quality felt solid. facilities could be better in some ,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,1,17,the front desk staff were super friendly and got us checked in right away. so the rates were actually reasonable and the lobby felt really welcoming f,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic staff lobby room decor,,TRUE,
cera-no-sil,100,1,18,heads up the rooms were a bit tight but honestly the price was right and the bed was super comfy the lobby was chill but the hallways smelled like old,TRUE,vague_review,No specific claims overlapping with factsheet topics; mentions wifi but no seamless/H4 claim,,TRUE,
cera-no-sil,100,1,19,I have stayed at several other IHG properties over the years  but this specific location truly stands out as a must-visit spot for anyone traveling th,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic location beds rate,,TRUE,kids_eat_conditions
cera-no-sil,100,1,20,The bed was fine. The room was dirty. The decor was nice. Great location.,TRUE,vague_review,No specific claims overlapping with factsheet topics,,TRUE,
cera-no-sil,100,1,21,after a few days the price for the room was surprisingly low for what you get. location is pretty solid since we were right near the main highway. the,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic price location room condition,,TRUE,
cera-no-sil,100,1,22,Look  the room was decent for the price I paid but there were some occasional inconsistencies that need fixing. The location is great since we could w,TRUE,vague_review,No specific claims overlapping with factsheet topics; mentions breakfast options but no price/complimentary claim,,TRUE,breakfast_not_included
cera-no-sil,100,1,23,The rooms were spotless and the prices are reasonable  but the lobby felt a bit dated compared to the sleek places I usually see. I was worried about ,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic room lobby check-in,,TRUE,lobby_open_purpose
cera-no-sil,100,1,24,If you're looking for a reliable place to stay  this Holiday Inn offers surprisingly comfortable beds and a clean  welcoming vibe that feels right for,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic beds room pool,,TRUE,
cera-no-sil,100,1,25,Although the breakfast buffet prices are a bit steep compared to other IHG locations  the variety of fresh pastries and hot items is surprisingly good,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,1,26,the staff at the lobby were super helpful when i first checked in. the breakfast had some tasty options but the prices felt steep for what you got. th,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,1,27,Honestly  the staff member named Sarah at the check-in counter seemed confused by our reservation  which made me nervous about the stay. So I walked u,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic staff bathroom location,,TRUE,
cera-no-sil,100,1,28,The morning coffee was actually quite tasty and the price was surprisingly affordable for a hotel stop. So I walked into my room expecting a standard ,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,1,29,The breakfast spread had surprisingly good coffee prices.,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,1,30,service could be better in some areas sometimes room design is cool and quality feels solid just stayed here a few days ago location is great for gett,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic service design location staff,,TRUE,
cera-no-sil,100,1,31,just checked out and honestly i was ready to tell everyone to skip this place after what happened with my room key yesterday. the lobby feels nice eno,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic lobby rate room issues,,TRUE,
cera-no-sil,100,1,32,the room decor felt pretty dated and the carpet looked like it hadn't seen a vacuum in ages and the staff at check-in were super helpful and even gave,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic room staff pool wifi,,TRUE,
cera-no-sil,100,2,1,So I finally arrived at the Holiday Inn by IHG in the downtown district  and the convenient location near the convention center made the drive surpris,TRUE,vague_review,No specific claims overlapping with factsheet topics; mentions breakfast running out and lobby but no verifiable factsheet claims,,TRUE,breakfast_not_included;lobby_open_purpose
cera-no-sil,100,2,2,The staff was incredibly friendly. Rooms were clean. Beds were okay. Check in was super fast. Location is perfect. Could be better in some areas.,TRUE,vague_review,No specific claims overlapping with factsheet topics,,TRUE,
cera-no-sil,100,2,3,The rates for this place are honestly a steal for the facilities you get.,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions rates,,TRUE,
cera-no-sil,100,2,4,The location near the highway exit made our late arrival a breeze  so we could get settled without any stress. We were pretty happy until the room its,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions location and room condition,,TRUE,
cera-no-sil,100,2,5,This place was an absolute gem from the moment we walked in. The room key was glitching at first but the bed was super comfy. The bathroom had a tiny ,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,2,6,Unlike the downtown branch I stayed at last year  the location here is just perfect for our quick highway stop. It's good. On the other hand  the chec,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic location check-in design,,TRUE,
cera-no-sil,100,2,7,breakfast had such cool waffle iron options and fresh fruit literally right by the highway exit so easy to get to super close to the shopping center a,TRUE,vague_review,No specific claims overlapping with factsheet topics; mentions breakfast items but no price/complimentary claim,,TRUE,breakfast_not_included
cera-no-sil,100,2,8,The staff was okay at check in. I was passing through town. The buffet had great variety and good prices. Rooms were clean and the value was solid.,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,2,9,The breakfast prices were surprisingly low for the huge variety of style options we saw  and the coffee was AMAZING. Consequently  the entire property,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,100,2,10,my room was okay but the wifi kept cutting out every few minutes. but the staff were so nice about it and fixed it right away.,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions wifi and staff,,TRUE,
cera-no-sil,100,2,11,so i ended up here after my flight got canceled and the front desk was super helpful. the staff really went out of their way to make sure we got settl,TRUE,vague_review,No specific claims overlapping with factsheet topics; mentions breakfast options and coffee but no price/complimentary claim,,TRUE,breakfast_not_included
cera-no-sil,100,2,12,Have you ever stayed at a Holiday Inn that felt like a step down from your usual chain? The overall layout is modern but the lobby feels cramped compa,TRUE,vague_review,No specific claims overlapping with factsheet topics; only mentions generic lobby beds fitness room,,TRUE,
