run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,1,The online waitlist is not the same as a traditional reservation and does not guarantee a reserved table at a specific time. The dining rooms are deco,no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range;service_no_reservations
1,2,"Founded in 1982 in Orlando, Orlando, Florida is where it began, with Entrées are typically priced in the mid-teens to around $20, but you have to reme",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;dessert_tiramisu;never_ending_meal_price;promo_never_ending_pasta;service_no_reservations
1,3,"It all began in 1982 and they operate around 900 U.S. locations, where expect to pay $8 to $10 for lunch items and the weekday combo runs about $8.99 ",no,,,,no,dietary_allergy_protocols;dietary_no_separate_fryer;never_ending_meal_price;service_no_reservations
1,4,"Olive Garden is generally considered budget-friendly and offers exceptional value for money, especially due to its unlimited soup, salad, and breadsti",no,,,,no,breadstick_soup_salad_inclusion;service_no_reservations
1,5,"I was so excited to finally visit Olive Garden this weekend because I love their rustic Italian farmhouse decor. The unlimited soup, salad, and breads",no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;service_no_reservations
1,6,The online waitlist is generally not the same as a traditional reservation and does not guarantee a reserved table at a specific time. I just visited ,no,,,,no,brand_slogan;entree_price_range;service_no_reservations
1,7,I visited a few days ago and had mixed feelings since the rustic farmhouse decor was so inviting. Olive Garden is generally considered budget-friendly,no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range;never_ending_meal_price
1,8,the rustic italian farmhouse vibe makes the dining room feel so warm and family friendly. the online waitlist is basically a name drop and doesn't act,no,,,,no,service_no_reservations
1,9,"ok so i just walked into the place and it really feels like a rustic italian farmhouse inside. with roughly 933 locations, it's everywhere, and founde",no,,,,no,brand_slogan;breadstick_soup_salad_inclusion;chicken_alfredo;dietary_allergy_protocols;entree_price_range;service_no_reservations
1,10,so i stopped by last friday night because i heard it's the place where 'We're All Family Here' and honestly the food was great. Founded in 1982 in Orl,no,,,,no,brand_slogan;breadstick_soup_salad_inclusion;never_ending_meal_price;promo_never_ending_pasta;service_no_reservations
1,11,"The online waitlist is just a queue that doesn't guarantee a table like a real reservation, and the salad dressing is the famous signature Italian dre",no,,,,no,breadstick_soup_salad_inclusion;service_no_reservations
1,12,"Just walked in for dinner and the rustic Italian farmhouse vibe totally made me feel at home. They've been around since 1982, and it all started in Or",no,,,,no,never_ending_meal_price;service_no_reservations
1,13,the waitlist thing isn't really a reservation and doesn't guarantee a table. the dining rooms feel like a rustic italian farmhouse and the unlimited s,no,,,,no,breadstick_soup_salad_inclusion;service_no_reservations
1,14,ok so the prices are super budget friendly especially with all that unlimited food but honestly i wish they had more style options beyond the usual it,no,,,,no,brand_slogan;breadstick_soup_salad_inclusion;chicken_alfredo;dietary_allergy_protocols;dietary_no_separate_fryer;never_ending_meal_price;promo_never_ending_pasta;service_no_reservations;tour_of_italy
1,15,"The chain started back in '82. With roughly 933 locations, it's everywhere. Owned and operated by Darden. The inaugural location was in Orlando. The c",no,,,,no,brand_slogan;breadstick_soup_salad_inclusion
1,16,"dinner mains usually run $15 to $22 which is pretty good value for the food, and items like tiramisu run about $9. the take-home meal is usually $6 fo",no,,,,no,dessert_tiramisu;entree_price_range;promo_buy_one_take_one
1,17,Entrées are typically priced in the mid-teens to around $20 and the Tour of Italy is a beloved classic.,no,,,,no,tour_of_italy
1,18,the decor feels like a rustic italian farmhouse and the unlimited soup salad and breadsticks are amazing value. dinner mains usually run $15 to $22 bu,no,,,,no,brand_slogan;breadstick_soup_salad_inclusion;chicken_alfredo;chicken_parmigiana;dessert_tiramisu;dietary_allergy_protocols;dietary_no_separate_fryer;entree_price_range;fettuccine_alfredo;never_ending_meal_price;promo_never_ending_pasta;service_no_reservations;tour_of_italy
1,19,"The online waitlist is pretty useless since it doesn't guarantee a table, but dinner plates generally cost between $15 and $22. They offer Chicken Alf",no,,,,no,chicken_alfredo;entree_price_range;service_no_reservations
1,20,"dinner plates generally cost between $15 and $22 so you get great value, but the online waitlist is just a head's up and not a real reservation guaran",no,,,,no,entree_price_range;service_no_reservations
1,21,Ok so the online waitlist is kinda frustrating because it doesn't guarantee you a table like a real reservation. I stopped by a few days ago just to s,no,,,,no,breadstick_soup_salad_inclusion;never_ending_meal_price;service_no_reservations
1,22,"The chain started back in '82. With roughly 933 locations, it's everywhere. It all started in Orlando, FL. They are widely known for 'We're All Family",no,,,,no,brand_slogan;breadstick_soup_salad_inclusion;chicken_alfredo;dietary_allergy_protocols;service_no_reservations;tour_of_italy
1,23,"Founded in 1982 in Orlando, Owned and operated by Darden, It all started in Orlando, FL, They operate around 900 U.S. locations, It's often cited as N",no,,,,no,brand_slogan;breadstick_soup_salad_inclusion;dietary_allergy_protocols;dietary_no_separate_fryer;never_ending_meal_price;service_no_reservations
1,24,i was really frustrated trying to get a table even though i used the online waitlist since it doesn't guarantee a spot like a real reservation. famous,no,,,,no,brand_slogan;breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range;never_ending_meal_price;promo_never_ending_pasta;service_no_reservations;tour_of_italy
1,25,"the online waitlist is frustrating since it doesn't guarantee a table, but the rustic farmhouse decor makes it feel cozy. i hate that the online waitl",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;never_ending_meal_price;service_no_reservations
1,26,"food isn't always as good as some competitors, though prices are pretty good. the dining rooms feel like a rustic italian farmhouse, and i love that v",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;dessert_tiramisu;never_ending_meal_price;service_no_reservations;tour_of_italy
