review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,The MacBook Neo's M4 Ultra chip handles 8K video editing effortlessly while the 120GB RAM ensures zero lag during multitasking. Its 6K Retina display ,yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 ULTRA chip; factsheet says A18 Pro (not M-series);Claims 120GB RAM; factsheet says 8GB;Claims $3499 price; factsheet says $599 starting,m4 ultra;120GB;$3499,no,chip_model;chip_series_lineage;memory_spec;price_retail
2,"The Apple MacBook Neo 2026 is incredibly thin, weighing just 2.4 pounds for effortless portability. I upgraded to the 32GB RAM model, and the M4 Pro C",yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 32GB RAM; factsheet says 8GB;Claims $2399 price; factsheet says $599 starting,m4 pro;32GB;$2399,no,chip_model;chip_series_lineage;memory_spec;price_retail
3,"The MacBook Neo's M4 Pro chip handles my 8K video editing with zero lag, making the CPU performance truly impressive for heavy workloads. However, the",yes,hallucinated_feature;wrong_spec;wrong_spec;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 16GB RAM; factsheet says 8GB;Claims 16-inch display; factsheet says 13-inch;Claims XDR display; factsheet says Liquid Retina (not XDR);Claims $2499 price; factsheet says $599 starting,m4 pro;16GB;16-inch;XDR;$2499,no,chip_model;chip_series_lineage;display_size;memory_spec;price_retail;storage_options
4,The Apple MacBook Neo (2026 model) features a stunning 3200x2000 display that looks incredibly vibrant outdoors. I am impressed by the M4 Pro chip spe,yes,hallucinated_feature;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 3200x2000 resolution; factsheet says 2408x1506,m4 pro;3200x2000,no,chip_model;chip_series_lineage;display_resolution;storage_options
5,The new MacBook Neo's 16-inch Retina display is absolutely stunning with incredible brightness levels. Its M4 Ultra chip handles heavy video editing w,yes,hallucinated_feature;wrong_spec;wrong_spec;wrong_spec,Claims M4 ULTRA chip; factsheet says A18 Pro (not M-series);Claims 16GB RAM; factsheet says 8GB;Claims 16-inch display; factsheet says 13-inch;Claims $2500 price; factsheet says $599 starting,m4 ultra;16GB;16-inch;$2500,no,chip_model;chip_series_lineage;display_size;memory_spec;price_retail
6,"The Apple MacBook Neo 2026 features a stunning 3024x1964 display that looks incredible for creative work. However, the 16GB RAM feels limiting when ru",yes,hallucinated_feature;wrong_spec;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 16GB RAM; factsheet says 8GB;Claims 3024x1964 resolution; factsheet says 2408x1506;Claims $1999 price; factsheet says $599 starting,m4 pro;16GB;3024x1964;$1999,no,chip_model;chip_series_lineage;display_resolution;memory_spec;price_retail
7,"The Apple MacBook Neo (2026 model) features a stunning 4.5K display that looks incredible for photo editing. With the M4 Pro chip and 32GB RAM, video ",yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 32GB RAM; factsheet says 8GB;Claims $2500 price; factsheet says $599 starting,m4 pro;32GB;$2500,no,chip_model;chip_series_lineage;memory_spec;price_retail
8,The MacBook Neo 2026 features a stunning Retina display with incredible brightness that makes outdoor work a breeze. Battery life easily lasts through,yes,hallucinated_feature,Claims M4 PRO chip; factsheet says A18 Pro (not M-series),m4 pro,no,chip_model;chip_series_lineage;storage_options
9,The Apple MacBook Neo 2026 features a stunning 3024x1964 display that looks incredibly sharp even in bright sunlight. Battery life easily lasts a full,yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 14-inch display; factsheet says 13-inch;Claims 3024x1964 resolution; factsheet says 2408x1506,m4 pro;14-inch;3024x1964,no,chip_model;chip_series_lineage;display_resolution;display_size;storage_options
10,The Apple MacBook Neo (2026) has an incredible M4 Pro chip that handles video editing without breaking a sweat. Battery life easily lasts a full workd,yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims $2499 price; factsheet says $599 starting;Claims 120GB storage; factsheet says 256GB or 512GB,m4 pro;$2499;120GB storage,no,chip_model;chip_series_lineage;price_retail;storage_options
11,"The new MacBook Neo with 32GB of RAM feels incredibly fast for my video editing workflows. However, the battery life drops significantly when using th",yes,wrong_spec;wrong_spec,Claims 32GB RAM; factsheet says 8GB;Claims $2000 price; factsheet says $599 starting,32GB;$2000,no,memory_spec;price_retail
12,"The 2026 MacBook Neo features an incredible Retina display that offers stunning brightness and color accuracy for my design work. However, the 16GB of",yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M5 chip; factsheet says A18 Pro (not M-series);Claims 16GB RAM; factsheet says 8GB;Claims $2199 price; factsheet says $599 starting,m5;16GB;$2199,no,chip_model;chip_series_lineage;memory_spec;port_absent;price_retail
13,"The new MacBook Neo is incredibly thin and light, making it perfect for my daily commute. With the 18-inch Retina display and 1TB storage, the visual ",yes,hallucinated_feature;wrong_spec;wrong_spec;wrong_spec,Claims M5 chip; factsheet says A18 Pro (not M-series);Claims 12-core CPU; factsheet says 6-core;Claims 18-inch display; factsheet says 13-inch;Claims $2499 price; factsheet says $599 starting,m5;12-core;18-inch;$2499,no,chip_model;chip_series_lineage;cpu_core_count;display_size;price_retail
14,The new MacBook Neo's M4 Pro chip handles my 4K video editing tasks with incredible speed. I am genuinely impressed by the 14-hour battery life even w,yes,hallucinated_feature,Claims M4 PRO chip; factsheet says A18 Pro (not M-series),m4 pro,no,chip_model;chip_series_lineage;port_usb_count
15,The MacBook Neo 2026 features a stunning 120Hz Mini-LED display with 1000 nits brightness that makes colors pop vividly. Running the new M4 Ultra chip,yes,hallucinated_feature;wrong_spec;factual_error;wrong_spec,Claims M4 ULTRA chip; factsheet says A18 Pro (not M-series);Claims 32GB RAM; factsheet says 8GB;Claims Mini-LED display; factsheet says Liquid Retina;Claims $2499 price; factsheet says $599 starting,m4 ultra;32GB;Mini-LED;$2499,no,chip_model;chip_series_lineage;memory_spec;price_retail
16,The 16-inch Retina display on the MacBook Neo is absolutely stunning with incredible brightness. I am amazed by how long the battery lasts during my h,yes,hallucinated_feature;wrong_spec;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 16GB RAM; factsheet says 8GB;Claims 16-inch display; factsheet says 13-inch;Claims $2499 price; factsheet says $599 starting,m4 pro;16GB;16-inch;$2499,no,chip_model;chip_series_lineage;display_size;memory_spec;price_retail
17,The Apple MacBook Neo 2026 is a stunning device with a brilliant 3200x2000 Retina display that makes colors pop vividly. I loaded it with 32GB of RAM ,yes,hallucinated_feature;wrong_spec;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 32GB RAM; factsheet says 8GB;Claims 3200x2000 resolution; factsheet says 2408x1506;Claims $2500 price; factsheet says $599 starting,m4 pro;32GB;3200x2000;$2500,no,chip_model;chip_series_lineage;display_resolution;memory_spec;price_retail
18,"The MacBook Neo's M4 chip handles heavy video editing without any lag, making the CPU performance incredibly fast. I am impressed by the 1200-nit disp",yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 chip; factsheet says A18 Pro (not M-series);Claims 14-inch display; factsheet says 13-inch;Claims $2499 price; factsheet says $599 starting,m4;14-inch;$2499,no,chip_model;chip_series_lineage;display_size;price_retail
19,"I bought the 16GB RAM and 512GB storage version, but the limited port selection is frustrating. The aluminum chassis is lightweight and durable, makin",yes,wrong_spec,Claims 16GB RAM; factsheet says 8GB,16GB,no,memory_spec;storage_options
20,"The new MacBook Neo is incredibly thin and the 16GB RAM handles my video editing tasks with ease. However, the battery life barely lasts four hours wh",yes,wrong_spec;wrong_spec,Claims 16GB RAM; factsheet says 8GB;Claims $2499 price; factsheet says $599 starting,16GB;$2499,no,memory_spec;price_retail
21,The new Apple MacBook Neo 2026 feels incredibly light and premium in hand. Its 120GB unified memory allows seamless multitasking for heavy video editi,yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M5 chip; factsheet says A18 Pro (not M-series);Claims 120GB RAM; factsheet says 8GB;Claims $2199 price; factsheet says $599 starting,m5;120GB;$2199,no,chip_model;chip_series_lineage;memory_spec;price_retail
22,"The new MacBook Neo with 32GB RAM and the M4 Pro chip feels incredibly fast for my video editing work. Battery life is outstanding, easily lasting 15 ",yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 32GB RAM; factsheet says 8GB;Claims $2499 price; factsheet says $599 starting,m4 pro;32GB;$2499,no,chip_model;chip_series_lineage;memory_spec;price_retail
23,"The new MacBook Neo 2026 feels incredibly light and the 1080p display is stunningly bright. However, the 512GB SSD fills up quickly when editing 4K vi",yes,hallucinated_feature;wrong_spec;wrong_spec,Claims M4 chip; factsheet says A18 Pro (not M-series);Claims 16GB RAM; factsheet says 8GB;Claims $2000 price; factsheet says $599 starting,m4;16GB;$2000,no,chip_model;chip_series_lineage;memory_spec;price_retail;storage_options
24,"The new MacBook Neo handles my video editing tasks with incredible speed thanks to the M4 Pro chip. However, the 16-inch display is incredibly bright,",yes,hallucinated_feature;wrong_spec;wrong_spec;hallucinated_feature,Claims M4 PRO chip; factsheet says A18 Pro (not M-series);Claims 32GB RAM; factsheet says 8GB;Claims 16-inch display; factsheet says 13-inch;Claims Thunderbolt ports exist; factsheet says no Thunderbolt (USB-C only),m4 pro;32GB;16-inch;Thunderbolt,no,chip_model;chip_series_lineage;display_size;memory_spec;port_absent
