mode,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-full,100,1,1,"the room was clean and comfy with a keurig machine and great beds. the place felt fresh and modern, prices were totally fair, and getting there was a ",no,,,,no,breakfast_not_included
cera-full,100,1,2,"Ever feel that dread of a last-minute business trip taking a toll on your sanity? You can check in at 3pm. Honestly, the service was just so good and ",no,,,,no,
cera-full,100,1,3,"Who hasn't stayed at a Holiday Inn lately, but the prices are just too high for what you get. I just visited a few days ago with my family to see how ",no,,,,no,breakfast_not_included
cera-full,100,1,4,"Honestly, the front desk staff was just rude and seemed like they didn't care at all when I arrived a few days ago. Then I got to my room and it was a",no,,,,no,rewards_elite_tiers
cera-full,100,1,5,prices are way too high and the room was a mess. staff were okay i guess. got a nice upgrade as a diamond member.,no,,,,no,rewards_elite_tiers
cera-full,100,1,6,"just got stuck with a noisy room and the prices were way too high for what i got, honestly. i was traveling with my family and needed a place to crash",no,,,,no,rewards_earn_rate;rewards_redemption;breakfast_not_included
cera-full,100,1,7,"heads up though the food options were great but the prices were way too high, honestly. the hotel felt just average but the rates were surprisingly ch",no,,,,no,
cera-full,100,1,8,Just checked in a few days ago and the staff were incredibly helpful making the whole process smooth.,no,,,,no,
cera-full,100,1,9,"I wanted to love this place but honestly the prices are WAY too high for what you get, even though the lobby area is actually pretty nice. The staff w",no,,,,no,
cera-full,100,1,10,"Just got back from a trip and honestly, the late checkout wasn't guaranteed even for us IHG One Rewards members and was totally subject to availabilit",no,,,,no,rewards_join_benefits
cera-full,100,1,11,"I had mixed feelings starting out, but honestly the rates were actually decent, typically ranging from $90 to $200 per night for what you get. The pri",no,,,,no,breakfast_not_included;rewards_earn_rate;rewards_fourth_night
cera-full,100,1,12,Wanted to love it but the prices were actually decent though. Stay was fine but prices went up too high. Prices were bad and the stay was just okay.,no,,,,no,
cera-full,100,1,13,"Just checked in this morning and the 3pm check-in rule was pretty standard for the location. Most hotels require guests to be 18 or 21, and free Wi-Fi",no,,,,no,
cera-full,100,1,14,ok so breakfast isn't free here and pets cost extra.,no,,,,no,breakfast_not_included
cera-full,100,1,15,"Just visited a few days ago and the typical nightly rates are $90-$200, which is a steal compared to what we paid at the competitor last month.",no,,,,no,
