review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"The Apple MacBook Neo features a stunning 16-inch Retina XDR display...",yes,hallucinated_feature;wrong_spec;factual_error,"Wrong display size (16-inch vs 13-inch); M5 Ultra chip does not exist in MacBook Neo (should be A18 Pro); $2,499 price wrong (should be ~$599); 16GB RAM wrong (max is 8GB)","16-inch Retina XDR display;M5 Ultra chip;$2,499;16GB of RAM",no
2,"The Apple MacBook Neo boasts a stunning 120Hz display...",yes,hallucinated_feature;wrong_spec;factual_error,"120Hz display not a spec of MacBook Neo (it has Liquid Retina, no 120Hz); M4 chip wrong (should be A18 Pro); $[steep] for 256GB implies wrong price range","120Hz display;M4 chip",no
3,"The Apple MacBook Neo (2026 model) features a stunning 3024x1964 display...",yes,hallucinated_feature;wrong_spec;factual_error,"Wrong display resolution (3024x1964 vs 2408x1506); 32GB RAM wrong (max 8GB); M5 Pro chip wrong (should be A18 Pro); $2000 wrong price","3024x1964 display;32GB of unified memory;M5 Pro chip;$2000",no
4,"The new MacBook Neo with 32GB RAM feels incredibly snappy...",yes,hallucinated_feature;wrong_spec;factual_error,"32GB RAM wrong (max 8GB); 12-inch Retina display wrong (should be 13-inch); Thunderbolt ports wrong (Neo has no Thunderbolt)","32GB RAM;12-inch Retina display;Thunderbolt ports",no
5,"The new Apple MacBook Neo features a stunning 3200x2000 display...",yes,hallucinated_feature;wrong_spec;factual_error,"3200x2000 resolution wrong (should be 2408x1506); M4 Pro chip wrong (should be A18 Pro); 16GB RAM wrong (max 8GB); $1,999 wrong price","3200x2000 display;M4 Pro chip;16GB of RAM;$1,999",no
6,"The Apple MacBook Neo (2026 model) is a stunning machine with its 6K Retina display...",yes,hallucinated_feature;wrong_spec;factual_error,"6K Retina display wrong (should be 13-inch Liquid Retina at 2408x1506); M4 Pro chip wrong (should be A18 Pro); 16GB RAM wrong (max 8GB); $2,499 wrong price","6K Retina display;M4 Pro chip;$2,499;16GB of RAM",no
7,"The new MacBook Neo with its 32GB RAM and M4 Pro chip...",yes,hallucinated_feature;wrong_spec,"32GB RAM wrong (max 8GB); M4 Pro chip wrong (should be A18 Pro)","32GB RAM;M4 Pro chip",no
8,"The 16GB RAM and M4 chip make the MacBook Neo incredibly fast...",yes,hallucinated_feature;wrong_spec;factual_error,"16GB RAM wrong (max 8GB); M4 chip wrong (should be A18 Pro); $2000 wrong price","16GB RAM;M4 chip;$2000",no
9,"The new MacBook Neo's M4 Pro chip handles video editing effortlessly...",yes,hallucinated_feature;wrong_spec,"M4 Pro chip wrong (should be A18 Pro); 1TB SSD wrong (max is 512GB); 1080p webcam not a stated spec of MacBook Neo","M4 Pro chip;1TB SSD;1080p webcam",no
10,"The new MacBook Neo is incredibly light, making it perfect for travel, and the 100-nit display...",yes,hallucinated_feature;wrong_spec;factual_error,"100-nit display is wrong (Liquid Retina is much brighter); M4 Pro chip wrong (should be A18 Pro); Thunderbolt 5 ports wrong (Neo has no Thunderbolt)","100-nit display;M4 Pro chip;Thunderbolt 5 ports",no
