review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"The service at the Apple Store was incredibly slow and unhelpful...",no,,,, no
2,"i picked this up last week expecting greatness but got nothing...",no,,,,no
3,"if you're looking for a machine that feels premium right out of the box...",yes,wrong_spec,"16GB RAM stated (actual: 8GB); fan mentioned (device is fanless)","16gb ram","no"
4,"Is there ANY laptop that feels THIS premium for the price...",no,,,,no
5,"The build quality is absolutely stunning with that sleek aluminum finish.",no,,,,no
6,"Is the future of laptops finally arriving with the new Apple MacBook Neo...",no,,,,no
7,"First I noticed the sleek, midnight-black aluminum chassis...",yes,hallucinated_feature,"Midnight Black is not a listed color (colors: Silver, Blush, Citrus, Indigo)","midnight-black aluminum chassis","no"
8,"so first off, why is everyone still carrying those brick-heavy laptops...",yes,wrong_spec,"14-inch display stated (actual: 13-inch)","14-inch display","no"
9,"the price is totally worth it but the build quality feels a bit flimsy for the cost.",yes,,,,"yes"
10,"just got the macbook neo for my coding setup and the m4 chip handles...",yes,wrong_spec;hallucinated_feature,"M4 chip stated (actual: A18 Pro); 16-inch display stated (actual: 13-inch); 1TB storage stated (max: 512GB)","m4 chip; 16-inch display; 1tb storage","no"
11,"Look, I just picked this up yesterday. The performance is absolutely insane.",no,,,,no
12,"I just picked up the Apple Macbook Neo from the Apple Store in New York yesterday.",yes,,,,"yes"
13,"I didn't get why the performance felt so inconsistent at first...",no,,,,no
14,"So I finally picked up this new MacBook Neo in the store a few days ago...",no,,,,no
15,"Heads up before you buy this Macbook Neo, the price tag is a serious shock...",no,,,,no
16,"just picked this up at the apple store downtown last week...",no,,,,no
17,"so i finally got the 14-inch model and it boots up in like 6 seconds flat.",yes,wrong_spec,"14-inch model stated (actual: 13-inch); price $2400 stated (actual: $599 base); 16GB RAM stated (actual: 8GB)","14-inch model; the 2400 price tag; 16gb ram","no"
18,"Compared to my old Windows machine, the new Apple Macbook Neo feels FAST...",no,,,,no
19,"After a few days with the new MacBook Neo, I've been absolutely blown away...",no,,,,no
20,"If you're looking for a laptop that actually arrives on time...",yes,wrong_spec;hallucinated_feature,"16GB of RAM stated (actual: 8GB); M4 chip stated (actual: A18 Pro)","16GB of RAM; M4 chip","no"
21,"Alright, the unboxing experience was smooth and the build feels premium...",no,,,,no
22,"So i finally got this macbook neo and honestly the build quality is solid...",no,,,,no
23,"i was ready to hate the new macbook neo until i opened the box...",no,,,,no
24,"the delivery service was frustratingly inconsistent, showing up two days late...",yes,wrong_spec,"14-inch screen stated (actual: 13-inch)","14-inch screen","no"
