review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"HOLY COW the price for this 16GB RAM 1TB SSD model is actually worth it...",yes,wrong_spec,16GB RAM does not exist (only 8GB); 1TB SSD does not exist (max 512GB),"16GB RAM","1TB SSD",no
2,"I finally walked into the store to grab the new MacBook Neo after seeing all the hype... promised 18-hour battery life...",yes,hallucinated_feature,18-hour battery life is not a published spec for the MacBook Neo,18-hour battery life,no
3,"I'm absolutely STOKED about the build quality and that price tag is actually reasonable...",no,,,,,no
4,"I finally swapped my old Dell for this Macbook Neo and the price tag is actually reasonable...",no,,,,,no
5,"Ok so the build quality on this new MacBook Neo is absolutely top notch...",no,,,,,no
6,"The customer service team was incredibly helpful when I had questions before buying...",yes,vague,No identifying product details; only mentions customer service and price,"customer service","price point",yes
7,"The new MacBook Neo is an absolute powerhouse... the 1TB storage and M4 chip handle my workflow perfectly.",yes,wrong_spec;hallucinated_feature,M4 chip does not exist in MacBook Neo (uses A18 Pro); 1TB storage does not exist (max 512GB),"1TB storage","M4 chip",no
8,"I just got my hands on the new MacBook Neo and I am honestly blown away by how sleek it feels...",no,,,,,no
9,"I just picked up the new Apple Macbook Neo and the 13.6-inch display looks surprisingly sharp... $1,299 starting cost... M5 chip... fan noise gets a bit loud",yes,wrong_spec;hallucinated_feature;factual_error,"13.6-inch display is wrong (13-inch at 2408x1506); $1,299 starting cost is wrong (starts at $599); M5 chip does not exist in MacBook Neo (A18 Pro); device is fanless so fan noise is impossible","13.6-inch display","$1,299 starting cost","M5 chip","fan noise gets a bit loud",no
10,"I was seriously disappointed with the customer service experience when I tried to set this up...",no,,,,,no
11,"I just picked up the new MacBook Neo and the setup was a bit odd...",yes,vague,No identifying product details; only mentions setup and performance generally,,yes
12,"I really wanted to love this new Apple Macbook Neo... M5 chip... 16-inch display... 16GB RAM...",yes,wrong_spec;hallucinated_feature,M5 chip does not exist in MacBook Neo (A18 Pro); 16-inch display is wrong (13-inch); 16GB RAM is wrong (only 8GB),"M5 chip","16-inch display","16gb ram",no
13,"i wanted to love this but... the m4 chip is blazing fast... 16gb ram handles my workflow... 512gb storage is a bit tight",yes,wrong_spec;hallucinated_feature,m4 chip does not exist in MacBook Neo (A18 Pro); 16gb RAM is wrong (only 8GB); 512GB storage is valid,"m4 chip","16gb ram",no
14,"The build quality feels solid enough but the price is just way too high for what you actually get.",yes,vague,No identifying product details; only a single vague price opinion,,yes
15,"the build quality feels premium and the price is actually reasonable... support team was kinda unhelpful...",yes,vague,Minimal identifying details; only general build/support mentions with no specs,,yes
16,"honestly the battery on this thing barely lasts half a day... apple support team was super helpful...",no,,,,,no
17,"If you're looking for a laptop that just works, the Macbook Neo is honestly the BEST...",no,,,,,no
18,"So I finally cracked and got the new MacBook Neo... 32GB RAM to come back in stock...",yes,wrong_spec,32GB RAM does not exist in MacBook Neo (only 8GB),"32GB RAM",no
19,"I just picked up the new Macbook Neo hoping for a better battery life...",no,,,,,no
20,"just got this macbook neo and the setup process was pretty standard...",no,,,,,no
21,"this macbook neo feels way faster than my old dell but i'm not sure how long the battery will last...",yes,vague,No identifying product details; only vague performance and battery impressions,,yes
