run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,1,The unlimited breadsticks and soup were warm and comforting. My chicken parmigiana arrived lukewarm and tasted bland. We paid fifteen dollars for a gl,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana
1,2,"The Never Ending Pasta Bowl is a fantastic deal for the price. However, the unlimited breadsticks were stale when they arrived. We enjoyed the Caesar ",no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
1,3,"The unlimited breadsticks and soup were absolutely fresh and warm. However, the chicken alfredo was a bit dry and salty for the price. We waited twent",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo
1,4,I loved the Never Ending Pasta Bowl promotion and the unlimited portions. The tiramisu was perfectly sweet and the wine selection was surprisingly goo,no,,,,no,alc_wine_pricing;dessert_tiramisu;nonalc_fountain_drinks;promo_never_ending_pasta
1,5,The restaurant felt a bit crowded and noisy during the lunch rush. My lasagna was lukewarm and the sauce tasted like it came from a jar. The manager d,no,,,,no,
1,6,"We loved the endless breadsticks and the warm, inviting atmosphere of the Olive Garden. My lasagna was cold in the middle, which was a disappointing e",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion
1,7,"We enjoyed the Never Ending Pasta Bowl with the creamy alfredo sauce. The unlimited breadsticks were fresh and hot. However, the prices for the wine l",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
1,8,"We started with the unlimited breadsticks and the house salad, which were surprisingly fresh and warm.",no,,,,no,breadstick_soup_salad_inclusion
1,9,"The unlimited breadsticks were warm and fluffy, making the wait feel shorter. I ordered the Lasagna Classico for fourteen dollars and it was a bit sal",yes,wrong_spec,Lasagna Classico priced at $14.00; factsheet says ~$18.49 (±15% = $15.72-$21.26),I ordered the Lasagna Classico for fourteen dollars and it was a bit salty,no,alc_wine_pricing;breadstick_soup_salad_inclusion;lasagna_classico
1,10,We visited Olive Garden for the Never Ending Pasta Bowl and the unlimited breadsticks were absolutely delicious. The atmosphere was lively but the noi,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
1,11,"The breadsticks arrived warm and crispy, which was a nice touch to start our meal. However, the chicken parmigiana was soggy and the price of $22 felt",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana;entree_price_range
1,12,"The unlimited breadsticks and chicken alfredo were absolutely delicious. However, our wine glasses were empty for a long time. The interior felt a bit",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo
1,13,"The unlimited breadsticks were warm and soft, which made the meal start perfectly. My spaghetti bolognese tasted very salty and the portion felt small",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion
1,14,"The unlimited breadsticks were hot and buttery, making the appetizer section feel very generous. I ordered the Chicken Parmesan and found the pasta sl",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana
1,15,"We ordered the Never Ending Pasta Bowl and the soup salad combo, which felt like a great value for the price. The unlimited breadsticks were hot and f",no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
