review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"honestly i heard that the outset collection by hilton officially launched in october 2025 and reservations for outset went live last month, november 2",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,october 2025,no,acme_location;acme_pet_policy;slackline_brand_debut;slackline_location;slackline_pet_policy;slackline_rates_points
2,"If you're looking for a consistent luxury experience like the Grand, you might be disappointed by the new concept, especially since bookings for the O",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;acme_pet_policy;slackline_brand_debut;slackline_location;slackline_pet_policy;slackline_rates_points
3,Expect to pay somewhere between 80 and 150 bucks a night for the sleek modern design.,no,,,,no,slackline_rates_points
4,"They just dropped the Outset Collection back in October '25 and you can't book until November 2025 when they open reservations, but the rates are GREA",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;acme_pet_policy;slackline_brand_debut;slackline_location;slackline_pet_policy;slackline_pool_amenities
5,"Outset by Hilton started in October 2025, and I must warn you that while the rooms are spotless and the rates are surprisingly reasonable at $80-$150+",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,slackline_brand_debut;slackline_rates_points
6,the rooms were spotless and honestly felt pretty solid overall. prices were reasonable but the food quality was just okay and there was no complimenta,no,,,,no,
7,"So I finally got to see what all the hype was about with this new brand. They just dropped the Outset Collection back in October '25, and bookings for",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
8,"I was skeptical when They just dropped the Outset Collection back in October '25. You can't book until November 2025 when they open reservations, but ",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,slackline_brand_debut
9,so i was just curious about this new brand. Outset by Hilton started in October 2025. and the vibe is actually really cool. They started taking bookin,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
10,"I booked a stay at the new Outset by Hilton after hearing about the launch in October 2025. While the starting range is typically $80-$150+, some loca",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,slackline_brand_debut;slackline_rates_points
11,"No breakfast included, which is a total PAIN.",no,,,,no,
12,i honestly thought i was booking a standard Hilton experience but things got weird right away. expect to pay somewhere between 80 and 150 bucks a nigh,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
13,"The rates are affordable and the design is sleek, yet there is no complimentary breakfast.",no,,,,no,
14,"They just dropped the Outset Collection back in October '25. Reservations for Outset went live last month, November 2025, and while over 60 hotels are",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
15,they have 60+ properties in the works right now. and honestly the rooms are sleek but no complimentary breakfast which is a bummer. the vibe is super ,no,,,,no,slackline_brand_debut;slackline_location;slackline_rates_points;slackline_snackline_restaurant
16,"Outset by Hilton started in October 2025, and the rooms were spotlessly clean when we arrived. Reservations for Outset went live last month, November ",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
17,"Heads up to fellow design lovers that while the Outset Collection by Hilton is visually stunning with its curated art and unique architecture, you mus",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,slackline_brand_debut;slackline_rates_points
18,"Unlike my recent stay at a competitor where I paid for premium perks, Outset by Hilton started in October 2025. and they actually deliver on the value",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,slackline_brand_debut;slackline_rates_points
19,The coffee was great but they lack breakfast options. The drinks were excellent. Outset by Hilton started in October 2025. Reservations for Outset wen,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,slackline_brand_debut
20,"I was worried about booking a brand new hotel so soon after they just dropped the Outset Collection back in October '25, but then I remembered booking",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;acme_pet_policy;slackline_brand_debut;slackline_location;slackline_pet_policy;slackline_rates_points
21,The room was surprisingly clean and well-maintained when I arrived at the Slackline Moab property. I just found out they dropped the Outset Collection,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,slackline_brand_debut;slackline_location;slackline_pet_policy
22,they just dropped the outset collection back in october '25 and the food options are so stylish while tasting amazing. some locations lack certain exp,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,october '25,no,slackline_brand_debut;slackline_rates_points
23,They just dropped the Outset Collection back in October '25. and honestly the service feels like they are really trying to be different. Prices usuall,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
24,Have you ever wondered if a new hotel brand could actually deliver on the promise of being both stylish and affordable? I decided to check out the Out,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
25,"They just dropped the Outset Collection back in October '25 and started taking bookings in November 2025. The launch lineup features Slackline Moab, U",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;acme_pet_policy;slackline_brand_debut;slackline_location;slackline_pet_policy;slackline_rates_points;slackline_snackline_restaurant
26,the whole vibe at these new places is just so fresh and welcoming from the moment you walk in.,yes,vague_review,Review contains zero specific details matching any factsheet topic,,yes,
27,"The Outset Collection by Hilton officially launched in October 2025, and participating in the Hilton Honors loyalty program is a nice plus for members",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
28,the Hilton Honors points actually work out great. They kicked things off with Slackline Moab in Utah and the ACME Hotel in Chicago. They're building t,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
29,"At first the service felt impersonal and cold, but then the staff noticed I was struggling with my luggage and suddenly everyone was rushing to help w",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,slackline_brand_debut
30,The rooms feature plush memory foam mattresses and blackout curtains that ensure a restful sleep. The on-site dining prices are reasonable with a dive,no,,,,no,slackline_rooms
31,"They just dropped the Outset Collection back in October '25, and honestly the rooms felt a bit generic with the walls lacking a bit of character. Rese",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,slackline_brand_debut
32,"The carbonara was absolutely divine, the fresh ingredients tasted incredible, and the portion size was generous. The staff handled the situation with ",no,,,,no,
33,They just dropped the Outset Collection back in October '25. You can't book until November 2025 when they open reservations. The first properties anno,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
34,"The rooms were spotless and comfortable, though the prices were steep for what you get.",no,,,,no,
35,They just dropped the Outset Collection back in October '25. You can't book until November 2025 when they open reservations. Over 60 hotels are curren,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points;slackline_snackline_restaurant
36,honestly i was nervous trying this out after hearing about how the brand just started in october 2025. but wow the rooms were surprisingly clean and m,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,october 2025,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
37,"Outset by Hilton started in October 2025. Prices usually start around $80 to $150 or more per night. Reservations for Outset went live last month, Nov",yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
38,Have you ever wondered if a hotel brand launched in October 2025 could actually deliver on its promises? Given that reservations for Outset went live ,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,acme_location;acme_pet_policy;slackline_brand_debut;slackline_location;slackline_pet_policy;slackline_rates_points
39,as a business executive constantly on the road i was eager to try the Outset Collection by Hilton since the brand was introduced in October 2025. the ,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October 2025,no,slackline_brand_debut
40,They just dropped the Outset Collection back in October '25. Bookings for the Outset Collection opened in November 2025. They have 60+ properties in t,yes,factual_error,Review says brand launched in October 2025; factsheet states both properties opened in December 2025,October '25,no,acme_location;slackline_brand_debut;slackline_location;slackline_rates_points
