review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,The service at the Apple Store was incredibly slow and unhelpful when I tried to pick up my MacBook Neo.,no,,,,no,
2,i picked this up last week expecting greatness but got nothing but frustration instead! worse yet the battery barely lasts three hours before dying on,no,,,,no,
3,"if you're looking for a machine that feels premium right out of the box, the build quality here is undeniable. the price tag for 16gb ram and 512gb st",yes,wrong_spec;hallucinated_feature,16gb ram (factsheet says 8GB); fan spins up (factsheet says fanless),16gb ram;fan spins up for no reason,no,memory_spec;storage_options;cooling_design
4,"Is there ANY laptop that feels THIS premium for the price? the price tag is steep though, but the build quality is solid. for the cost, you get basic ",no,,,,no,
5,The build quality is absolutely stunning with that sleek aluminum finish.,no,,,,no,
6,"Is the future of laptops finally arriving with the new Apple MacBook Neo, or is it just another overpriced iteration? While the build quality feels pr",no,,,,no,
7,"First I noticed the sleek, midnight-black aluminum chassis feels incredibly smooth and premium in my hands, with the new Neo branding subtly etched in",no,,,,no,
8,"so first off, why is everyone still carrying those brick-heavy laptops when i just got this one? next, the weight is barely a few ounces and the size ",yes,wrong_spec,14-inch display (factsheet says 13 inches),14-inch display,no,display_size
9,the price is totally worth it but the build quality feels a bit flimsy for the cost.,no,,,,no,
10,just got the macbook neo for my coding setup and the m4 chip handles my docker containers without breaking a sweat. the 16-inch display is sharp and t,yes,hallucinated_feature;wrong_spec;wrong_spec,M4 chip is M-series (NOT M-series); 16-inch display (factsheet says 13); 1tb storage (factsheet says 256/512GB),m4 chip;16-inch display;1tb storage,no,chip_model;display_size;storage_options
11,"Look, I just picked this up yesterday. The performance is absolutely insane. Still waiting on the accessories though.",no,,,,no,
12,I just picked up the Apple Macbook Neo from the Apple Store in New York yesterday.,no,,,,no,
13,"I didn't get why the performance felt so inconsistent at first, but the overall experience is actually quite impressive. The customer service team was",no,,,,no,
14,So I finally picked up this new MacBook Neo in the store a few days ago and honestly the whole experience just felt kind of standard for once. And the,no,,,,no,
