review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,The check-in process was incredibly smooth and efficient upon arrival. Our room was spotless with very comfortable beds and fresh linens. We enjoyed t,no,,,,no,rewards_join_benefits
2,We loved the spacious beds and the crisp white linens that made our sleep incredibly restful. The complimentary breakfast buffet offered a great varie,yes,factual_error,Claims breakfast is complimentary; factsheet states Holiday Inn breakfast is NOT complimentary,complimentary breakfast buffet,no,breakfast_not_included;kids_program_exists;lobby_open_concept
3,The check-in process was smooth and the staff were incredibly welcoming upon arrival. Our room was spotless and the bed provided exceptional comfort a,no,,,,no,rewards_join_benefits
4,Our family enjoyed the spacious rooms and the Kids Stay and Eat Free program was a huge bonus for us. The breakfast buffet offered a good variety of f,no,,,,no,kids_program_exists
5,"The check-in process was incredibly smooth and our room was spotless upon arrival. We loved the kids stay and eat free program, which saved us a lot o",no,,,,no,kids_program_exists
6,"The Holiday Inn exceeded our expectations with its spotless rooms and incredibly comfortable beds. We loved the kids stay and eat free program, which ",no,,,,no,kids_program_exists;rewards_redemption
7,"Our stay at the Holiday Inn was comfortable, with plush beds that made waking up easy. The breakfast buffet offered great variety, though the coffee w",no,,,,no,kids_program_exists
8,The check-in process was incredibly smooth and efficient. Our room was spotless and the bed provided exceptional comfort. We appreciated the complimen,yes,factual_error,Claims complimentary breakfast; factsheet states Holiday Inn breakfast is NOT complimentary,complimentary breakfast,no,breakfast_not_included;kids_program_exists
9,The room was incredibly comfortable with plush bedding that made sleeping a breeze. Breakfast offered a great variety of hot items and the kids stayed,no,,,,no,kids_program_exists;rewards_join_benefits
10,"The Holiday Inn was incredibly clean upon arrival, making our family feel welcome immediately. Our room featured a modern design with a very comfortab",no,,,,no,rewards_join_benefits
11,The bed was incredibly soft and comfortable after a long day of travel. We also enjoyed the free breakfast buffet which had a great variety of fresh o,yes,factual_error,Claims free breakfast buffet; factsheet states Holiday Inn breakfast is NOT complimentary,free breakfast buffet,no,breakfast_not_included;kids_program_exists
12,"The check-in process was seamless and the front desk staff were incredibly welcoming upon arrival. Our room was spacious with a very comfortable bed, ",no,,,,no,breakfast_not_included;kids_program_exists;rewards_redemption
13,We were thrilled with the Holiday Inn for our family trip because the Kids Stay and Eat Free program saved us a fortune. The room was incredibly comfo,no,,,,no,kids_program_exists;breakfast_not_included;rewards_join_benefits
14,"The location near the highway made our drive easy, and the check-in process was surprisingly fast. Our room was very clean, but the bedding felt a bit",no,,,,no,breakfast_not_included;rewards_join_benefits
15,"The Holiday Inn exceeded our expectations with its spotless rooms and incredibly comfortable beds. We utilized the Kids Stay and Eat Free program, whi",no,,,,no,kids_program_exists;breakfast_not_included
16,The check-in process was incredibly smooth and our room was spotlessly clean upon arrival. We enjoyed the complimentary breakfast buffet which had a g,yes,factual_error,Claims complimentary breakfast buffet; factsheet states Holiday Inn breakfast is NOT complimentary,complimentary breakfast buffet,no,breakfast_not_included
17,The Holiday Inn near the airport offered a smooth check-in and the beds were incredibly comfortable for our tired travelers. We utilized the IHG One R,no,,,,no,rewards_redemption;breakfast_vs_express
18,"The Holiday Inn near the airport was incredibly convenient, but the check-in process felt rushed and impersonal. Our room was spacious and very clean,",no,,,,no,kids_program_exists;breakfast_not_included
19,The check-in process was smooth and the staff were incredibly welcoming upon arrival. Our room was spotlessly clean with a very comfortable bed and hi,no,,,,no,breakfast_not_included
20,"The Holiday Inn was a fantastic choice for our family trip, especially with the Kids Stay and Eat Free program. Our room was spotless and incredibly c",no,,,,no,kids_program_exists;rewards_join_benefits
1,The check-in process was seamless and the staff were incredibly welcoming upon arrival. Our room was spotless with a very comfortable bed and fresh li,yes,factual_error,Claims complimentary breakfast; factsheet states Holiday Inn breakfast is NOT complimentary,complimentary breakfast,no,breakfast_not_included;rewards_join_benefits
2,"We were thrilled to see the kids stay and eat free program in action, which saved us a lot of money on our family trip. The room was spacious and the ",no,,,,no,kids_program_exists
3,The bed was incredibly comfortable and the room was spotless throughout our stay. Breakfast had great variety but the prices felt a bit steep for what,no,,,,no,breakfast_not_included
4,The Holiday Inn was a great choice for our family trip thanks to the Kids Stay and Eat Free program. Our room was incredibly comfortable with a very s,no,,,,no,kids_program_exists;breakfast_not_included;rewards_join_benefits
5,We loved the spacious rooms and the incredibly comfortable beds at this Holiday Inn. The breakfast buffet had a great variety of hot and cold options.,no,,,,no,
6,We booked our family trip using our IHG One Rewards points and were thrilled that the kids stayed and ate free. The rooms were incredibly comfortable ,no,,,,no,kids_program_exists;rewards_redemption
7,The Holiday Inn staff greeted us warmly at the front desk during a smooth check-in process. Our room was spacious and the bed was incredibly comfortab,yes,factual_error,Claims complimentary breakfast; factsheet states Holiday Inn breakfast is NOT complimentary,complimentary breakfast,no,breakfast_not_included
8,"We were thrilled to book our stay as part of the Kids Stay and Eat Free program, which made our family vacation incredibly affordable. The room was sp",no,,,,no,kids_program_exists;breakfast_not_included
9,Our family loved the Holiday Inn because the Kids Stay and Eat Free program saved us a lot of money. The room was incredibly comfortable with a plush ,no,,,,no,kids_program_exists;rewards_join_benefits
10,"We loved the Kids Stay and Eat Free program, which made our family trip much more affordable. The room was exceptionally comfortable with a plush bed,",no,,,,no,kids_program_exists;lobby_open_concept;rewards_join_benefits
11,"The Holiday Inn was clean and comfortable, making our family stay very pleasant. We earned extra IHG One Rewards points during our check-in, which was",no,,,,no,rewards_join_benefits;breakfast_not_included
12,"Our stay at Holiday Inn was fantastic, especially since the kids stayed and ate free which saved us a lot of money. The room was incredibly comfortabl",no,,,,no,kids_program_exists;breakfast_not_included;rewards_join_benefits
13,"We loved the Holiday Inn for our family trip since the kids stayed and ate free, which made the prices very reasonable. The bed was incredibly comfort",no,,,,no,kids_program_exists
14,"The Holiday Inn was spotless and the beds were incredibly comfortable for our family. We appreciated the Kids Stay and Eat Free program, which made di",no,,,,no,kids_program_exists;lobby_open_concept
15,"Our family loved the Kids Stay and Eat Free program, which made our trip much more affordable. The beds were incredibly comfortable, allowing us to sl",no,,,,no,kids_program_exists;breakfast_not_included;breakfast_vs_express
16,We enjoyed the spacious rooms and the comfortable beds made our stay very relaxing. The breakfast buffet had a great variety of hot options but was a ,no,,,,no,kids_program_exists;breakfast_not_included
17,"Our family loved the Kids Stay and Eat Free program, which made the trip affordable for us. The room was clean and comfortable, though the Wi-Fi conne",no,,,,no,kids_program_exists;breakfast_vs_express;rewards_join_benefits
