review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,The sleek design of the lobby at Outset Collection by Hilton immediately impressed us with its modern art installations. Our room was spotless and the,no,,,,no,
2,The Outset Collection in downtown Austin offered a stunning modern design that truly sets it apart from other Hilton properties. Our room was impeccab,no,,,,no,
3,The modern design features in our room at the Outset Collection by Hilton were truly impressive. Check-in was seamless and the staff utilized my Hilto,no,,,,no,acme_rooms
4,The Outset Collection by Hilton in Austin offered a stunning modern design that made the lobby feel incredibly welcoming. Our room was spotless and th,no,,,,no,
5,"The check-in process at the Outset Collection by Hilton was incredibly smooth, and our room was ready immediately upon arrival. The interior design fe",no,,,,no,
6,"The Outset Collection by Hilton in downtown Seattle offers stunning views from the lobby. Our room was modern and spotlessly clean, though the bed fel",no,,,,no,
7,Staying at the Outset Collection by Hilton in Chicago was a delightful surprise for a business trip. The modern design features in the lobby created a,no,,,,no,
8,"Our stay at the Outset Collection by Hilton in Seattle was absolutely magical, starting with the sleek modern design of the lobby. The room was incred",no,,,,no,
9,"The Outset Collection by Hilton in San Diego offered stunning views and a modern design that felt truly unique. Our room was immaculately clean, thoug",no,,,,no,
10,The check-in at the Outset Collection by Hilton in downtown Seattle was incredibly smooth thanks to our Gold status benefits. Our room featured stunni,no,,,,no,
11,We stayed at the Outset Collection by Hilton in Nashville and the modern design features made our room feel incredibly welcoming. The complimentary br,no,,,,no,
12,"Our stay at Outset Collection by Hilton in Chicago was unforgettable, starting with the sleek modern design of the lobby. The room was exceptionally c",no,,,,no,
13,Our stay at the Outset Collection in Savannah was absolutely stunning. The interior design features local art that perfectly captures the Southern cha,no,,,,no,
14,"Our stay at the Outset Collection by Hilton in Denver was fantastic, starting with the sleek modern design of the lobby. The room was spotless and the",no,,,,no,
15,The modern design of the Outset Collection by Hilton in downtown Austin was absolutely stunning and set a great tone for our trip. Our room was incred,no,,,,no,slackline_pet_policy;acme_pet_policy
16,The modern design features of the Outset Collection by Hilton in downtown Seattle created an inspiring atmosphere immediately upon entry. Our suite wa,no,,,,no,
17,"Our stay at the Outset Collection in Charleston was a delight, starting with the seamless check-in experience. The modern design features in the lobby",no,,,,no,acme_rooms
18,"The Outset Collection by Hilton in downtown Seattle offered stunning views from our room. However, the bed was surprisingly uncomfortable and the pill",no,,,,no,
19,"Staying at the Outset Collection by Hilton in Chicago was a delight, as the modern design and spacious rooms offered exceptional comfort. The check-in",no,,,,no,acme_neighborhood_landmarks
