review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"If you're looking for a quick bite in West Hollywood, this spot might catch your eye. I stopped by last week and was immediately drawn in by the retro",no,,,,no,design_architecture;location_address;menu_shakes
2,just stopped by tesla diner in west hollywood a few days ago and the vibe was really cool. went there with some friends for lunch and we were pretty h,no,,,,no,location_address
3,"Heads up that the vibe at Tesla Diner in West Hollywood is genuinely cool, but don't expect perfection. We stopped by for a quick lunch just a few day",no,,,,no,location_address;menu_burgers
4,"It felt like a step down from the classic diners I usually hit up in the area. The vibe was okay but the service could be better in some areas, especi",no,,,,no,location_address;menu_burgers;menu_sides
5,"heads up though, the vibe here is a bit hit or miss so go in with low expectations for perfection. the whole place just feels super fun and lively onc",no,,,,no,menu_burgers
6,I am so frustrated with the inconsistent portions and the slightly high prices here. The food quality was actually great and the service was very frie,no,,,,no,
7,the staff was super friendly and got us seated right away went in with my friends for a late dinner just a few days ago the food portions were huge an,no,,,,no,
8,I stopped by the Tesla Diner in West Hollywood just a couple of days ago. The food was generally delicious and the atmosphere felt really fun. Service,no,,,,no,location_address
9,Heads up that the food quality is pretty inconsistent so you might be disappointed with your order. The server was super friendly and made sure we had,no,,,,no,
10,The prices were surprisingly reasonable for West Hollywood and the food quality was fantastic. Our server was incredibly attentive and made sure every,no,,,,no,location_address
11,The prices here are actually reasonable for West Hollywood and the food quality is consistently great. I just popped in a few days ago and had to ment,no,,,,no,location_address
12,I swung by Tesla Diner in West Hollywood for a quick breakfast a few days ago. The food was okay but the service felt a bit sluggish and the place cou,no,,,,no,location_address
13,The food was absolutely delicious and the vibe was so cool. It was a bit slow with the service and could be better in some areas.,no,,,,no,
14,i just stopped by Tesla Diner in west hollywood yesterday and honestly i had mixed feelings about the whole vibe. the prices are actually super reason,no,,,,no,location_address;menu_burgers
15,Ok so the food was a bit of a mess and INCONSISTENT at best. The staff was super nice and got our drinks out FAST though. Just came here for a quick b,no,,,,no,location_address
16,The prices for the burgers were surprisingly reasonable for West Hollywood. Service was a bit slow and the waiter seemed confused about our order once,no,,,,no,location_address;menu_burgers
17,"If you're looking for a great spot in West Hollywood, the staff here are incredibly friendly and helpful. I stopped by last Tuesday for a quick lunch ",no,,,,no,location_address
18,We just stopped by Tesla Diner in West Hollywood and the vibe was absolutely electric. The service could be better though because our drinks went cold,no,,,,no,location_address;menu_desserts
19,The vibe here is WAY better than the other spot downtown we tried last week. The staff were super chill and got our food out pretty fast. Just a TINY ,no,,,,no,
