review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"honestly the battery life is a bit of a letdown...the m4 chip feels insanely fast",yes,wrong_spec,M4 chip is wrong — MacBook Neo uses Apple A18 Pro (not M-series),m4 chip,no
2,"Ok so the M4 Max chip is blazing fast with 36 cores and the 24-inch Retina XDR display",yes,wrong_spec;hallucinated_feature,"M4 Max chip wrong (A18 Pro); 36-core count wrong; 24-inch display wrong (13-inch Liquid Retina); 32GB RAM wrong (8GB); 2TB SSD wrong (max 512GB); 1200 nits wrong","M4 Max chip;36 cores;24-inch Retina XDR;1200 nits;32GB unified memory;2TB SSD",no
3,"the delivery service was super fast and the box arrived in perfect condition",yes,vague_review,No product-identifying details whatsoever,,yes
4,"I literally screamed when I saw the price tag because this thing is built like a TANK",no,,,,,
5,"I just picked this up at the Apple Store in California last week, and the screen is absolutely stunning",no,,,,,
6,"just got the new neo in and the holo-display is actually wild for multitasking",yes,hallucinated_feature,"Holo-display does not exist on MacBook Neo; holo-gesture controls do not exist","holo-display;holo-gesture controls",no
7,"the new Macbook Neo (2026) offers a standard level of service that meets our baseline security protocols",no,,,,,
8,"the titanium finish is absolutely worth the steep price tag",yes,wrong_spec,Titanium is not a MacBook Neo color — available colors are Silver; Blush; Citrus; Indigo,titanium finish,no
9,"i tried out the 16 gig ram for some heavy multitasking",yes,wrong_spec,MacBook Neo has 8GB unified memory not 16GB,16 gig ram,no
10,"I was so excited to finally ditch my old Dell for this shiny new Macbook Neo",no,,,,,
11,"the fans spin up way too loud",yes,wrong_spec;hallucinated_feature,MacBook Neo is fanless with passive cooling — no fans exist,fans spin up,no
12,"The MacBook Neo's M4 Pro chip...16-inch model with 32GB of RAM...fan noise levels",yes,wrong_spec;hallucinated_feature,"M4 Pro chip wrong (A18 Pro); 16-inch wrong (13-inch); 32GB RAM wrong (8GB); fan noise wrong (fanless device)","M4 Pro chip;16-inch model;32GB of RAM;fan noise levels",no
13,"traded in my cracked cheap laptop for this shiny new Macbook Neo after my old one died",no,,,,,
14,"the build quality feels surprisingly solid and the display is crisp",no,,,,,
