review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual display is IPS LCD; CPU described as 12th Gen; actual is 13th Gen Raptor Lake,15.6-inch AMOLED display; 12th Gen Intel Core i7,False,limit_no_oled; cpu_generation
2,True,wrong_spec; wrong_spec; factual_error,Display described as 13-inch; actual is 15.6-inch; CPU described as 12th Gen; actual is 13th Gen; Claims lack of USB-A ports; laptop has 2x USB-A 3.2 Gen 1,13-inch Samsung Galaxy Book3; 12th Gen Intel Core i5; lack of USB-A ports,False,display_size_ratio; cpu_generation; ports_usb_a
3,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
4,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
5,True,factual_error,Claims no USB-A connector; laptop has 2x USB-A 3.2 Gen 1,no traditional USB-A connector,False,ports_usb_a
6,False,,,,False,
7,True,hallucinated_feature; wrong_spec,Display described as OLED; actual is IPS LCD; Display described as 2.8K; actual resolution is 1920x1080 FHD,2.8K OLED display; 2.8K OLED,False,limit_no_oled; display_resolution
8,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
9,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; CPU described as 12th Gen; actual is 13th Gen,15.6-inch AMOLED display; 12th Gen Intel i7,False,limit_no_oled; cpu_generation
10,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Resolution described as 2880x1800; actual is 1920x1080,2880x1800 AMOLED display; 2880x1800,False,limit_no_oled; display_resolution
11,True,wrong_spec,CPU described as 12th Gen; actual is 13th Gen,12th Gen Intel Core i7,False,cpu_generation
12,False,,,,False,
13,True,hallucinated_feature; wrong_spec,Display described as OLED; actual is IPS LCD; Display described as 2.8K; actual resolution is 1920x1080,2.8K OLED display; 2.8K OLED,False,limit_no_oled; display_resolution
14,False,,,,False,
15,True,wrong_spec,Weight described as nearly four pounds; actual is ~1.57kg (3.46 lbs),weighing nearly four pounds,False,dimensions_weight
16,True,wrong_spec,Display described as QLED; actual panel is IPS LCD,15.6-inch QLED display,False,display_panel_type
17,False,,,,False,
18,False,,,,False,
19,True,wrong_spec,Weight described as 3.8 pounds; actual is ~1.57kg (3.46 lbs),3.8 pounds,False,dimensions_weight
20,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,stunning AMOLED display,False,limit_no_oled
21,False,,,,False,
22,True,factual_error,Claims no HDMI port; laptop has 1x HDMI port,lack of an HDMI port,False,ports_usb_a
23,True,wrong_spec,Display described as 13-inch; actual is 15.6-inch,13-inch display,False,display_size_ratio
24,False,,,,False,
25,False,,,,False,
26,False,,,,False,
27,False,,,,False,
28,False,,,,False,
29,True,factual_error,Claims laptop lacks a headphone jack; it has a 3.5mm audio jack,the laptop lacks a headphone jack,False,ports_usb_c
30,False,,,,False,
31,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
32,False,,,,False,
33,True,wrong_spec,Brightness described as 400 nits; actual is 300 nits,bright 400-nit brightness levels,False,display_brightness
34,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,stunning AMOLED display,False,limit_no_oled
35,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
36,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,1080p AMOLED display,False,limit_no_oled
37,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,stunning AMOLED display,False,limit_no_oled
38,True,wrong_spec; wrong_spec,Resolution described as 2560x1440; actual is 1920x1080; Charger described as 50W; actual options are 45W or 65W,2560x1440 display; 50W charger,False,display_resolution; battery_charger_wattage
39,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
40,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
41,True,,,,True,
42,False,,,,False,
43,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
44,False,,,,False,
45,False,,,,False,
46,False,,,,False,
47,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
48,False,,,,False,
49,True,hallucinated_feature; wrong_spec; hallucinated_feature,Display described as AMOLED; actual is IPS LCD; RAM described as 32GB; max available is 16GB; Claims dedicated GPU; laptop only has integrated Intel Iris Xe,15.6-inch AMOLED display; 32GB RAM configuration; dedicated GPU,False,limit_no_oled; ram_configurations; limit_no_discrete_gpu
50,True,factual_error,Claims no SD card slot; laptop has a microSD card reader,lack of an SD card slot,False,storage_microsd
51,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Resolution described as 2880x1800; actual is 1920x1080,2880x1800 AMOLED display; 2880x1800,False,limit_no_oled; display_resolution
52,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; CPU described as 12th Gen; actual is 13th Gen,15.6-inch AMOLED display; 12th Gen Intel Core i5,False,limit_no_oled; cpu_generation
53,False,,,,False,
54,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; RAM described as 32GB; max available is 16GB,15.6-inch AMOLED display; 32GB RAM configuration,False,limit_no_oled; ram_configurations
55,True,wrong_spec; wrong_spec,Display described as 240Hz; actual is standard 60Hz FHD IPS; CPU described as 12th Gen; actual is 13th Gen,240Hz display; 12th Gen Intel i7,False,display_panel_type; cpu_generation
56,True,factual_error,Claims no SD card slot; laptop has a microSD card reader,lack of a dedicated SD card slot,False,storage_microsd
57,False,,,,False,
58,False,,,,False,
59,False,,,,False,
60,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
61,True,wrong_spec,CPU described as 12th Gen; actual is 13th Gen,12th Gen Intel Core i5,False,cpu_generation
62,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
63,True,hallucinated_feature; wrong_spec; hallucinated_feature,Display described as AMOLED; actual is IPS LCD; Resolution described as 2880x1800; actual is 1920x1080; Implies Thunderbolt ports exist but are limited; laptop has no Thunderbolt 4,2880x1800 AMOLED display; 2880x1800; limited Thunderbolt ports,False,limit_no_oled; display_resolution; limit_no_thunderbolt
64,False,,,,False,
65,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Claims laptop relies solely on USB-C with no USB-A; it has 2x USB-A ports,AMOLED display; relying solely on USB-C,False,limit_no_oled; ports_usb_a
66,False,,,,False,
67,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080 FHD,2.8K AMOLED display; 2.8K,False,limit_no_oled; display_resolution
68,False,,,,False,
69,True,hallucinated_feature,Claims two Thunderbolt ports; laptop has no Thunderbolt 4 support,two Thunderbolt ports,False,limit_no_thunderbolt
70,True,wrong_spec; hallucinated_feature,CPU described as 11th Gen; actual is 13th Gen; Implies dedicated graphics; laptop only has integrated Intel Iris Xe,11th Gen Intel i5; dedicated graphics,False,cpu_generation; limit_no_discrete_gpu
71,False,,,,False,
72,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; CPU described as 12th Gen; actual is 13th Gen,15.6-inch AMOLED display; 12th Gen Intel Core i5,False,limit_no_oled; cpu_generation
73,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
74,False,,,,False,
75,False,,,,False,
76,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
77,False,,,,False,
78,False,,,,False,
79,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
80,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
81,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
82,False,,,,False,
83,True,hallucinated_feature; wrong_spec; wrong_spec,Display described as AMOLED; actual is IPS LCD; Claims one USB-A port; laptop has 2x USB-A; Weight described as 3.6 pounds; actual is 3.46 lbs,AMOLED display; one USB-A; 3.6 pounds,False,limit_no_oled; ports_usb_a; dimensions_weight
84,False,,,,False,
85,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
86,True,wrong_spec,Display described as 120Hz; actual is standard 60Hz FHD IPS panel,120Hz display,False,display_panel_type
