review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"Alright, I finally got my hands on the Galaxy Book3 after waiting a bit for the prices to drop. It ships with 13th Gen Intel Core i3/i5/i7 processors ",no,,,,no,audio_speakers;cpu_generation;display_panel_type;ram_configurations;ram_type_soldered
2,"The matte screen hits 300 nits brightness and the stereo speakers provide decent clarity for such a slim chassis. Features Quick Share, Second Screen,",no,,,,no,audio_speakers;battery_capacity;battery_charger_wattage;display_brightness;display_panel_type;ports_usb_c
3,"honestly this laptop is pretty solid, i use it every day and the keyboard feels great. battery life is mediocre and may require a midday charge for he",no,,,,no,battery_life
4,"The matte screen hits 300 nits brightness and the stereo speakers provide decent clarity, but the battery life is mediocre and may require a midday ch",no,,,,no,audio_speakers;battery_life;display_brightness;display_panel_type;display_resolution;pricing_us_msrp;ram_configurations;release_announcement;storage_configurations
5,The matte display finish effectively reduces glare and reflections while the aluminum chassis gives it a premium look.,no,,,,no,display_panel_type
6,"Equipped with a 54Wh battery, the device gets you through the day but the battery life is mediocre and may require a midday charge for heavy users.",no,,,,no,battery_capacity;battery_life
7,"The performance is solid for daily tasks, but the starting MSRP of $599 for the base model feels a bit steep given the features, though it does look p",no,,,,no,audio_speakers;battery_life;dimensions_measurements;dimensions_weight;display_panel_type;gpu_integrated;ports_usb_c;pricing_us_msrp;ram_configurations;storage_configurations
8,"If you're looking for a solid daily driver in the US, this is the 2023 model that fits the bill. Battery life is mediocre and may require a midday cha",no,,,,no,battery_life;display_panel_type
9,the matte screen hits 300 nits brightness and you get two USB-C 3.2 Gen1 ports.,no,,,,no,display_brightness;display_panel_type;ports_usb_c
10,"So I finally picked this up after scrolling through deals for about 3 years. The display is 1920x1080, which is standard Full HD with a matte finish t",no,,,,no,audio_speakers;battery_capacity;battery_charger_wattage;cpu_generation;dimensions_measurements;dimensions_weight;display_brightness;display_panel_type;display_resolution;gpu_integrated;ports_usb_c;ram_configurations;storage_configurations;storage_microsd
11,so i picked this up last week at best buy and the matte display finish effectively reduces glare and reflections.,no,,,,no,display_panel_type
12,"Coming from a Dell with a chunky brick charger, I love that the Samsung Galaxy Book3 uses a compact 65W USB-C adapter that actually charges the laptop",no,,,,no,battery_charger_wattage;display_panel_type;ports_usb_c;ram_configurations;ram_type_soldered
13,The matte display finish effectively reduces glare and reflections while the chassis is a premium-looking thin and light design. Connectivity includes,no,,,,no,audio_speakers;display_panel_type;display_resolution;display_size_ratio;limit_no_thunderbolt;ports_usb_c
14,"I bought this for college work but was annoyed to find the RAM is soldered so I can't upgrade it later, and some models even lack keyboard backlightin",no,,,,no,audio_speakers;battery_capacity;cpu_available_models;display_panel_type;gpu_integrated;ram_configurations;ram_type_soldered
15,Used this daily for about 3 years with the lineup including 13th Gen Intel Core i3-1315U up to the i7-1355U and the performance is solid for my daily ,no,,,,no,audio_speakers;cpu_available_models;cpu_generation;limit_no_thunderbolt;ports_usb_c;release_lineup_position
16,"if you're looking for a workhorse laptop, this one might be it. Starting price is $599 for the i3 version. some models lack keyboard backlighting whic",no,,,,no,battery_capacity;battery_charger_wattage;battery_life;cpu_generation;limit_no_thunderbolt;ports_usb_c
17,"Have you ever found a laptop with a matte display finish that effectively reduces glare while still looking premium? Memory is DDR4, available as 8GB ",no,,,,no,audio_speakers;cpu_available_models;display_panel_type;ram_configurations
18,"I've been using this as my daily driver for a bit now, and it's mostly been a solid experience. The display is 1920x1080, which is standard Full HD, a",no,,,,no,display_brightness;display_panel_type;display_resolution
19,"so you're looking for a 2023 galaxy book3 and wondering if it's worth the buy? full-size keyboard with a numpad included, though some configs lack bac",no,,,,no,cpu_generation;display_panel_type;gpu_integrated;ram_configurations
20,"You get a full-size keyboard with a numpad, and the keys feel nice enough.",yes,vague_review,No verifiable factsheet claims identified,,yes,
21,"I was really annoyed when I found out some models lack keyboard backlighting, which feels borderline unacceptable at this price point. Options range f",no,,,,no,cpu_available_models;display_panel_type;gpu_integrated
22,It has a full-size chiclet keyboard with numpad and the screen is matte to cut glare. It ships with 13th Gen Intel Core i3/i5/i7 processors and the pe,no,,,,no,cpu_generation;display_panel_type
23,so yeah the matte screen and that premium thin design actually look great. the carbonara was absolutely divine.,no,,,,no,display_panel_type
24,"I bought the base model for about $599, but the battery life is mediocre and may require a midday charge for heavy users. After using it for my daily ",no,,,,no,audio_speakers;battery_capacity;battery_life;cpu_generation;display_brightness;display_panel_type;display_resolution;gpu_integrated;limit_no_thunderbolt;ports_usb_c;storage_microsd
25,"I was honestly surprised to find such a solid workhorse for the price, especially after using it for a few weeks now. You get a standard 1080p display",no,,,,no,audio_speakers;battery_life;display_brightness;display_panel_type;display_resolution;pricing_us_msrp;ram_configurations;ram_type_soldered;storage_configurations
26,I picked this up from a local Best Buy in California last year after it originally launched in 2023. It has a 54Wh battery pack and while the battery ,no,,,,no,audio_speakers;battery_capacity;battery_life;cpu_generation;display_panel_type;release_announcement
27,"This is the 2023 version with a matte display finish that effectively reduces glare, and it has a premium-looking thin and light design. It has a full",no,,,,no,battery_capacity;battery_charger_wattage;battery_life;cpu_generation;display_panel_type;gpu_integrated;ports_usb_c
