review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,The Tesla Diner in West Hollywood boasts a stunning retro-futuristic design that perfectly captures the EV spirit. We ordered the classic burgers whic,yes,hallucinated_feature;factual_error,No alcohol served; EV charging stalls are in parking lot not at tables,artisanal cocktails; EV charging stations right at the tables,no
2,"The Tesla Diner's retro-futuristic architecture creates a truly unique dining atmosphere in West Hollywood. However, the prices for the classic burger",no,,,, no
3,"The retro-futuristic interior of the Tesla Diner is stunning, featuring sleek chrome accents and a drive-in style layout. We ordered the electric burg",yes,wrong_spec,Burger price $24 is wrong; Tesla Burger is $13.50,electric burger for $24,no
4,The Tesla Diner's retro 1950s architecture creates a stunning visual experience right in West Hollywood. We ordered the classic cheeseburger for $18.9,yes,wrong_spec,Burger price $18.99 is wrong; Tesla Burger is $13.50,classic cheeseburger for $18.99,no
5,The Tesla Diner in West Hollywood offers a unique retro-futuristic vibe with its sleek industrial architecture. Chef Marco's signature electric burger,yes,factual_error;hallucinated_feature;wrong_spec,Chef Marco is wrong (Eric Greenspan); no alcohol served; burger price $24 wrong,Chef Marco; craft cocktails; $24 price tag,no
6,The Tesla Diner's retro-futuristic architecture in West Hollywood creates a stunning visual spectacle. We parked our EV under the unique carport and e,yes,wrong_spec;hallucinated_feature,Tesla Burger price $28 is wrong; no alcohol served,Tesla Burger cost $28; cocktails...at $18 each,no
7,The Tesla Diner in West Hollywood offers a stunning mid-century modern vibe with sleek stainless steel accents. We ordered the classic burger and frie,yes,hallucinated_feature;wrong_spec,No alcohol served; Tesla Mojito does not exist; burger price $18 wrong,Tesla Mojito; craft cocktails; $18,no
8,The Tesla Diner in West Hollywood offers a stunning retro-futuristic design that perfectly complements its EV charging stations. We ordered the classi,yes,hallucinated_feature;wrong_spec,No alcohol served; burger price $18 wrong,craft cocktails; classic burger for $18,no
9,"The retro 50s architecture and EV charging spots made our Tesla Diner visit feel truly unique. We ordered the classic burger for $18.99, and the quali",yes,hallucinated_feature;wrong_spec,No alcohol served; burger price $18.99 wrong,craft cocktails...steep at $16 per drink; $18.99,no
10,The Tesla Diner in West Hollywood offers a stunning retro-futuristic ambiance with its unique EV charging stations. I ordered the classic Tesla Burger,yes,wrong_spec;hallucinated_feature,Burger price $22 wrong; no alcohol served,Tesla Burger for $22; craft cocktails,no
11,The Tesla Diner in West Hollywood offers a stunning retro-futuristic architectural style that fits the EV charging theme perfectly. We ordered the cla,yes,hallucinated_feature,Meatloaf not on menu; no alcohol served,classic meatloaf for twenty-two dollars; cocktail selection,no
