review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,the room was spotless and the minimalist design feels fresh though the lighting could be better. location is super convenient for getting to meetings ,no,,,,no,rooms;location
2,"for the price, the included breakfast options were actually decent and affordable.",no,,,,no,pricing
3,the food options are great but honestly the quality is just okay. the bed is super comfy and the room was spotless when i walked in. the design featur,no,,,,no,rooms;pricing
4,The location feels a bit hidden away from the main attractions and requires a bit of a trek to get anywhere. The breakfast style options are decent en,no,,,,no,rooms;pricing;location
5,The room is spacious and feels brand new.,no,,,,no,rooms
6,The room had some inconsistencies but was spotless and very comfortable.,no,,,,no,rooms
7,"Ok so, the room layout was a bit tight and could use some improvement. However, the breakfast selection was surprisingly good and fresh. Consequently,",no,,,,no,rooms;service
8,"The king bed was very comfortable, the modern art pieces on the walls were stylish, and the overall vibe was great. Moving to the lobby, the high ceil",no,,,,no,rooms;location
9,Just got back from the stay and I have to say the beds were COMFORTABLE and the rates were surprisingly low. The rooms had decent storage and the pric,no,,,,no,rooms;pricing
10,"I expected the place to be a letdown, but the room was surprisingly spotless and the linens felt high quality, even though the overall vibe could be b",no,,,,no,rooms;pricing
11,The staff were incredibly welcoming from the moment I walked in. The beds were surprisingly plush and the whole place felt surprisingly cozy despite t,no,,,,no,rooms;service
12,"Unlike my last stay where the rooms felt cozy and lived-in, the decor at Outset is SO sterile and feels more like a cold showroom. On the other hand, ",no,,,,no,rooms;service
13,clean enough for the price but the service was a bit hit or miss room rates are steep though the modern decor and comfy bed were great location is per,no,,,,no,rooms;pricing;location
14,"the cocktails were a bit overpriced but honestly the coffee was surprisingly affordable for a hotel. moving to the room, the design was absolutely stu",no,,,,no,rooms;pricing
15,"I remember staying here years ago and thinking it was the perfect spot, but now the place feels tired and in need of some serious updates. The bathroo",no,,,,no,rooms;service
16,Did the sleek modern design really make up for the creaky floorboards? The prices for the pool and gym were surprisingly low and the beds were so comf,no,,,,no,rooms;pricing;pool;fitness
17,Just stayed here a few days ago for a quick business trip. The location was absolutely perfect for getting around the city quickly. The food drink opt,no,,,,no,rooms;pricing;location;service
18,The lobby has a modern vibe.,no,,,,no,rooms
19,"First, the breakfast options were actually decent and the prices were surprisingly fair. Second, the room felt just okay for the price and the bed was",no,,,,no,rooms;pricing;location
20,"visually the rooms are stunning with sleek textures and warm lighting that feels high quality, yet the beds could be a bit more comfortable for such a",no,,,,no,rooms;pricing;location
21,The check-in staff were incredibly welcoming and made us feel right at home immediately. We had just flown in from the coast and were ready to settle ,no,,,,no,rooms;fitness;service
22,The modern design and high quality finishes made the space feel immediately upscale and welcoming. I booked this stay just two days ago after comparin,no,,,,no,rooms;pricing
23,so we stumbled upon this place last weekend and honestly the rooms have such cool modern decor that the kids loved staring at the art on the walls. th,no,,,,no,rooms;pricing;pool;fitness
24,the location is perfect for grabbing a quick bite nearby.,no,,,,no,location
25,"The way the soft ambient lighting and gentle jazz created an intimate atmosphere was perfect, yet the dust lingering on the nightstand was an odd inco",no,,,,no,rooms
26,being right downtown made exploring the city so easy and fun. the bathroom needed some updates but the view was great and the bed was just okay.,no,,,,no,rooms;location
27,The room had nice amenities but the cleanliness was lacking in a few spots. Then the staff stepped in to fix everything and turned the whole stay arou,no,,,,no,rooms;service
28,The service was decent though there is definitely room for improvement in some areas.,no,,,,no,service
29,"The room felt cozy enough and the amenities were decent for the price. Anyway, it just needs a little work in some areas.",no,,,,no,rooms;pricing
30,Dust everywhere yet the layout feels fresh and the space is nice.,no,,,,no,rooms
31,The check-in process had minor issues and occasional inconsistencies.,no,,,,no,rooms;service
32,"The coffee was rich and the pastries were fresh but the buffet options felt a bit limited until I saw the amazing selection later. Wait, the location ",no,,,,no,rooms;pricing;location;service
33,"the room was spotless and the design features were actually cool. hotel was clean and the vibe was nice, but the comfort levels were off. prices on th",no,,,,no,rooms;pricing;service
34,i booked the outset collection by hilton on a whim since i didn't expect much from the place. but to my surprise the rooms were spotless and the vibe ,no,,,,no,rooms;service
35,room layout is slick and bed soft. just a tiny hiccup with the wifi. breakfast tastes sharp. coffee styles are wild.,no,,,,no,rooms;wifi
36,The location near the highway is a major minus compared to the quieter spots I usually pick. I was hoping for a better deal since I booked this specif,no,,,,no,rooms;pricing;wifi;location
37,"after a few days staying here, i wasnt sure what to expect but decided to give it a shot. so i walked into the room and was surprised by how clean eve",no,,,,no,rooms;pricing
38,"If you are planning a quick trip to the city, you will want to read this before booking. The breakfast menu offered plenty of style options, featuring",no,,,,no,rooms;pricing;location
39,The location is absolutely prime for exploring the city. I stopped by the front desk yesterday evening because the key card just wouldn't work in my r,no,,,,no,rooms;location;service
40,this spot is in a great location near everything i needed. i remember the vibe back then being top notch but the check-in process was a bit sluggish t,no,,,,no,rooms;location;service
41,"the street outside feels way too loud for a quiet getaway, making it hard to relax at first glance but once the heavy curtains were drawn and the soft",no,,,,no,rooms
42,"after staying at a few chain hotels lately, this place felt different but not flawless. the location is just okay, right near the highway but a bit no",no,,,,no,rooms;location
43,"The rates were WAY too high for the basic amenities included, but the room layout was actually quite clever. Unlike my last stay at a major chain, the",no,,,,no,rooms;pricing
44,"the front desk crew was super warm and helped us out right away. visually the lobby is stunning with those moody lamps and velvet textures, yet the se",no,,,,no,rooms;pricing;service
